,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.5187610699757644,0.5390242825138921,0.5393527785476782,0.4933554690130562,0.5524679721633668,0.5847607192897464,0.5677311351953586,0.602985227017935,0.6628075287807959,0.5961265556600998,0.6858438924771669,0.6463721938710842,0.6502274929832952,0.7691369479460185,0.8523202472582203,0.8084764897467175,0.8750567652803146,0.9037945505190454,0.9005758792482847,0.8972838265420161,1.0
nights_per_years,,,,,,,,,,,,,,,,,,,,,9.0,,,,,7.0,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,2.1435659522490146e-05,,,,,1.6672179628603447e-05,,,
