,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.36176535390545783,0.3223920121238963,0.3133019754761227,0.38685871399461663,0.38856260136175086,0.3707785503990894,0.4779450606394944,0.4972209555154615,0.4685603692274125,0.5203308064046059,0.4508929049310901,0.4372647381137683,0.5602418896404113,0.6052538373302779,0.597751147924883,0.6563872133143183,0.7289203162481973,0.8936064989177686,1.0,0.8288853076691872,0.9662343605153866
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,5.611780359655243e-05,,,,
