ID1,ID2
23290,20335
20257,28921
20257,20410
20257,20295
20257,24981
20257,20666
20257,23251
20257,20455
20257,29821
20257,29909
20257,20715
28678,29891
28678,20090
28678,30894
28678,31193
28678,23652
20335,26385
20335,20410
20335,20295
20335,24981
20335,20666
20335,23251
20335,29821
20335,29909
28921,20410
28921,20295
28921,24981
28921,20666
28921,23251
23237,20455
28921,29821
28921,29909
28921,20715
28921,24645
28921,30410
28921,25102
20410,20295
20410,24981
20410,20666
20410,23251
20410,29777
20410,29821
20410,29909
20410,20715
20410,24645
20410,30410
20410,25102
20295,26991
20295,20319
29208,23251
29208,20455
29208,29821
27728,29909
20507,20724
25032,27557
27980,24645
25032,30410
27980,25102
27980,25339
26991,20666
29622,23251
29622,29777
26991,29821
26991,29909
29622,20715
26991,27557
26991,24645
29622,30410
26991,25102
20666,23251
29729,29777
29731,29821
29729,29909
29729,20715
29729,27557
29729,24645
29729,30410
29729,25102
26648,20455
23251,27707
26648,29891
26648,29909
26648,30030
26648,30117
26648,30178
26648,24645
26648,30410
26648,25102
26648,25188
20455,27707
24626,29891
20455,27616
20455,30030
24626,30117
20455,30178
20455,24645
20455,30419
20455,25102
20455,25188
24626,26520
27707,29909
27066,20724
27066,27557
27066,24645
27066,30410
27066,25102
27066,25244
27066,25339
29891,26603
29891,27284
27616,20724
27616,26603
27616,27557
27618,24645
27616,30410
27618,25102
27616,25244
27618,25339
27616,26520
30030,26603
25133,27557
20724,24645
20724,30410
20724,25102
25133,25244
20724,25339
25133,26520
26603,30178
26603,25409
26603,30475
26603,25268
26603,26520
26603,25235
26603,22794
26603,22833
27557,25409
27557,30475
27557,25102
27557,25188
27557,25339
27557,26520
27557,25235
30178,22794
24645,30410
24645,25102
25409,25244
25355,25339
25409,30744
25409,25235
30410,25102
30475,25244
27594,25339
30475,26520
30475,25235
25102,25244
28134,25339
25244,25339
25289,30744
25289,25235
25289,22794
25289,22833
25339,25304
26515,25235
25304,22800
30755,22833
25235,22800
30787,32167
30830,30894
30830,31208
30830,31256
30828,31644
30830,32677
30830,23138
20090,30894
20090,31193
20090,23652
20090,23698
20085,27677
20085,22486
20085,22510
20085,32429
20085,32466
20090,32682
20090,32733
20085,33225
20085,26230
28184,32543
28184,32575
28184,32888
30894,31193
30894,23652
30894,23698
30894,31354
30894,32429
30894,32682
30894,32733
31153,31304
31082,22472
31082,22510
31082,22493
31153,32466
28199,23412
28199,23398
28199,33139
25975,33193
25975,26249
25975,26059
31193,23652
31193,23698
31193,22486
31193,22510
31193,32429
31193,32466
31193,32682
31193,32733
31208,23698
23692,31354
23692,28439
23692,31695
23652,32682
23652,32733
31290,31354
31290,31559
31290,31668
31290,31695
23698,32682
23698,32733
27677,22387
27677,22510
27677,22493
27677,32466
31317,26925
31304,23412
31304,23398
31304,33139
31317,22449
27677,26230
27677,33725
31389,31559
31389,28439
31389,31695
31389,31760
31389,22929
22555,31644
22555,22610
22555,33473
22555,33600
22555,33762
22555,26736
22486,22510
22486,22493
22387,32466
22486,26925
22387,23412
22387,23398
22472,33225
22472,26230
22472,33725
22472,21038
22472,26087
22472,33870
22510,32429
22510,32466
22510,26925
22510,32733
22510,23412
31525,33225
31525,26230
31525,33725
31525,21038
31525,26087
31525,33870
31559,28439
31559,31732
31559,31760
31559,23030
31644,23138
31644,22160
31644,33614
31644,33742
31644,26736
28439,31695
31668,31760
28439,22929
31695,31760
26805,23030
31787,22929
31950,27284
22822,22833
32238,32250
32238,32274
32238,32292
32238,32351
32238,27391
32238,32405
32250,32292
32250,32351
32250,32405
32274,32351
32274,27391
32310,32351
32292,32405
32322,32416
32351,32405
32351,32416
32405,32416
32416,32486
32416,32516
32416,21910
32416,21954
22493,32466
32429,26925
32429,32733
22493,23412
22493,33225
22493,26230
22493,33725
22493,21038
22493,26087
22493,33870
32466,26925
32466,23412
32466,23398
32466,33139
32466,22449
32466,26230
32486,32531
32486,32543
32486,32575
32486,21910
32486,21672
32516,32543
32516,32575
32516,21910
32516,21672
32516,32888
32543,32575
32543,21910
32543,27418
32543,32888
32575,21910
32575,27418
32575,32888
32677,32733
26925,33225
26925,26230
26925,33725
20149,21038
20149,22133
20149,26087
20149,28313
32733,21038
32733,22133
32733,28313
21910,21930
21910,22013
27418,32888
23402,23398
23402,33139
23412,33193
23412,26230
24559,33139
23398,33193
22610,33473
22610,33600
33168,33762
33225,26249
33225,33725
33225,26197
33225,26087
33225,33870
26249,33725
26249,21038
26249,26087
33297,33870
25804,22237
22749,33751
25804,26751
22160,33742
22160,21038
22160,22133
22160,33839
22160,33870
22160,26751
33614,33742
33576,33751
33614,26751
21001,21038
21001,22133
21001,26087
21001,33870
33742,22133
33742,33870
33742,26751
21038,22133
26197,26087
21038,33870
22133,33839
22133,33870
22133,26751
33839,33870
33870,26751
20257,33921
23290,33924
28678,33915
28678,33916
28678,33917
28678,33918
28678,33919
28678,33920
28678,33921
25719,33921
28689,33923
20335,33924
28886,33921
26385,33924
20410,33921
20410,33924
29208,33921
25172,33922
25172,33923
20295,33924
29622,33921
24981,33924
20666,33921
20666,33924
26648,33920
26648,33921
23251,33924
24626,33919
24626,33920
24626,33921
27707,33921
29891,33919
29891,33920
29891,33921
27616,33921
30030,33920
30030,33921
26603,33919
30117,33920
30117,33921
30178,33920
30178,33921
24645,33921
30475,33920
30419,33921
25102,33921
25268,33920
25188,33921
26520,33920
26520,33921
