Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
78.0,0.0,131,42.348443905517314,1.3370330212053414,13370.330212053414,0.4840136691990359,50,1500
78.0,1.0,35,13.888321657814895,0.5603117367017262,5603.117367017262,0.3115802323709077,50,1500
