,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.8355202950167308,0.8784442090733044,0.8355417669917345,0.8464178010058048,0.8322817194237879,0.8723801540689426,0.8229288963753597,0.8509981698902324,0.8147296107356593,0.820592212114666,0.7603882816901563,0.7576322784781129,0.8334628148131736,0.836401466576922,0.8555371676126302,0.9147411467935674,0.9579232716068757,0.9898603726700599,0.9538133714741256,1.0,0.9720325474111807
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
