Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
43.0,0.0,109,36.01147740356025,1.2247757460740314,12247.757460740313,0.45327865120346367,50,1500
43.0,1.0,93,31.517444248674074,0.7736011752458488,7736.011752458488,0.42486832980505135,50,1500
43.0,2.0,140,44.86252809609931,1.5333868511101172,15333.868511101173,0.4757498728420131,50,1500
43.0,3.0,31,12.64553370620413,0.5904612785690017,5904.612785690017,0.2746243646636795,50,1500
43.0,4.0,68,23.88161469355813,0.9036181385972348,9036.18138597235,0.2656810836168162,50,1500
43.0,5.0,47,17.574785850404783,0.48386970613475877,4838.697061347588,0.3019348530673794,50,1500
