,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.7931697362015772,0.8980287911989268,0.9685769026068819,0.9755134794866,0.7874599083273196,0.8383617962428376,0.7259636083336914,0.7577855287964145,0.8119557869668483,0.8431181681581355,0.8363428848408668,0.8671690291564043,0.8337503262677891,0.8788705612008634,0.9114966844516761,0.8776124594925762,0.8952660577844619,0.8877418263473928,0.9034498880988657,1.0,0.9379819099673163
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
