,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.537794113767148,0.5582770080449807,0.5493546328750766,0.5643658555890289,0.562967291431944,0.5774326221868706,0.606242946106544,0.5939003548077872,0.6178931198949354,0.6613099745839974,0.6641478017258649,0.6790192901694498,0.6715197127923305,0.6564809829475332,0.7466463286530496,0.8664118877709062,0.8567039714824829,0.8985024981165188,0.9881057798198307,1.0,0.9572469808114554
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
