,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.36708750864325496,0.258218572949072,0.25678304376584493,0.2356369213100986,0.25712943333592686,0.23062523066210833,0.271856720312464,0.3041962308218017,0.6469115344524178,0.6838067962563049,0.5624206125154771,0.6432958578250415,0.7011334964428818,0.7498075735605287,0.7111367826223963,0.7283731175821154,0.7495033837350253,0.8808698070686707,0.9344967652200256,0.8472427647690157,1.0
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,3.528535542664801e-05,,,
