,cluster_ID,PS,Electrification
1100,1101,Alto Molocue HV,national grid extension
1101,1102,Gurue,national grid extension
1102,1103,Gurue,national grid extension
1103,1104,Gurue,national grid extension
1104,1105,Alto Molocue HV,national grid extension
1105,1106,Alto Molocue HV,national grid extension
1106,1107,Gurue,national grid extension
1107,1108,Alto Molocue HV,national grid extension
1108,1109,Alto Molocue HV,national grid extension
1109,1110,Gurue,national grid extension
1110,1111,Gurue,national grid extension
1111,1112,Gurue,national grid extension
1112,1113,Gurue,national grid extension
1113,1114,Gurue,national grid extension
1114,1115,Alto Molocue HV,national grid extension
1115,1116,Gurue,national grid extension
1116,1117,Alto Molocue HV,national grid extension
1117,1118,Gurue,national grid extension
1118,1119,Gurue,national grid extension
1119,1120,Gurue,national grid extension
1120,1121,Gurue,national grid extension
1121,1122,Alto Molocue HV,national grid extension
1122,1123,Gurue,national grid extension
1123,1124,Gurue,national grid extension
1124,1125,Gurue,national grid extension
1125,1126,Alto Molocue HV,national grid extension
1126,1127,Gurue,national grid extension
1127,1128,Gurue,national grid extension
1128,1129,Gurue,national grid extension
1129,1130,Alto Molocue HV,national grid extension
1130,1131,Alto Molocue HV,national grid extension
1131,1132,Gurue,national grid extension
1132,1133,Gurue,national grid extension
1133,1134,Alto Molocue HV,national grid extension
1134,1135,Alto Molocue HV,national grid extension
1135,1136,Gurue,national grid extension
1136,1137,Gurue,national grid extension
1137,1138,Gurue,national grid extension
1138,1139,Gurue,national grid extension
1139,1140,Alto Molocue HV,national grid extension
1140,1141,Alto Molocue HV,national grid extension
1141,1142,Alto Molocue HV,national grid extension
1142,1143,Gurue,national grid extension
1143,1144,Gurue,national grid extension
1144,1145,Alto Molocue HV,national grid extension
1145,1146,Gurue,national grid extension
1146,1147,Gurue,national grid extension
1147,1148,Gurue,national grid extension
1148,1149,Gurue,national grid extension
1149,1150,Alto Molocue HV,national grid extension
1150,1151,Gurue,national grid extension
