,cluster_ID,PS,Electrification
424,425,None(too far),off-grid system
425,426,Moma,national grid extension
426,427,None(too far),off-grid system
427,428,Moma,national grid extension
428,429,Mocuba_HV,national grid extension
429,430,Mocuba_HV,national grid extension
430,431,None(too far),off-grid system
431,432,None(too far),off-grid system
432,433,Mocuba_HV,national grid extension
433,434,Mocuba_HV,national grid extension
434,435,None(too far),off-grid system
435,436,None(too far),off-grid system
436,437,None(too far),off-grid system
437,438,None(too far),off-grid system
438,439,None(too far),off-grid system
439,440,Mocuba_HV,national grid extension
440,441,Mocuba_HV,national grid extension
441,442,Moma,national grid extension
442,443,None(too far),off-grid system
443,444,None(too far),off-grid system
444,445,None(too far),off-grid system
445,446,Mocuba_HV,national grid extension
446,447,None(too far),off-grid system
447,448,None(too far),off-grid system
448,449,Mocuba_HV,national grid extension
449,450,Mocuba_HV,national grid extension
450,451,Mocuba_HV,national grid extension
451,452,None(too far),off-grid system
452,453,None(too far),off-grid system
453,454,None(too far),off-grid system
454,455,None(too far),off-grid system
455,456,None(too far),off-grid system
456,457,None(too far),off-grid system
457,458,None(too far),off-grid system
458,459,None(too far),off-grid system
459,460,None(too far),off-grid system
460,461,Moma,national grid extension
461,462,None(too far),off-grid system
462,463,None(too far),off-grid system
463,464,Mocuba_HV,national grid extension
464,465,None(too far),off-grid system
465,466,Mocuba_HV,national grid extension
466,467,Mocuba_HV,national grid extension
467,468,None(too far),off-grid system
468,469,None(too far),off-grid system
469,470,None(too far),off-grid system
470,471,None(too far),off-grid system
471,472,None(too far),off-grid system
472,473,Moma,national grid extension
473,474,None(too far),off-grid system
474,475,Uape,national grid extension
475,476,None(too far),off-grid system
476,477,None(too far),off-grid system
477,478,None(too far),off-grid system
478,479,None(too far),off-grid system
479,480,None(too far),off-grid system
480,481,None(too far),off-grid system
481,482,None(too far),off-grid system
482,483,None(too far),off-grid system
483,484,None(too far),off-grid system
484,485,None(too far),off-grid system
485,486,None(too far),off-grid system
486,487,None(too far),off-grid system
487,488,None(too far),off-grid system
488,489,Uape,national grid extension
489,490,Uape,national grid extension
490,491,Uape,national grid extension
491,492,None(too far),off-grid system
492,493,None(too far),off-grid system
493,494,None(too far),off-grid system
494,495,None(too far),off-grid system
495,496,None(too far),off-grid system
496,497,None(too far),off-grid system
497,498,None(too far),off-grid system
498,499,Uape,national grid extension
499,500,Mocuba_HV,national grid extension
500,501,None(too far),off-grid system
501,502,None(too far),off-grid system
502,503,None(too far),off-grid system
503,504,None(too far),off-grid system
504,505,None(too far),off-grid system
505,506,None(too far),off-grid system
506,507,None(too far),off-grid system
507,508,Mocuba_HV,national grid extension
508,509,None(too far),off-grid system
509,510,None(too far),off-grid system
510,511,None(too far),off-grid system
511,512,None(too far),off-grid system
512,513,Uape,national grid extension
513,514,Mocuba_HV,national grid extension
514,515,None(too far),off-grid system
515,516,Mocuba_HV,national grid extension
516,517,None(too far),off-grid system
517,518,None(too far),off-grid system
518,519,None(too far),off-grid system
519,520,Uape,national grid extension
520,521,None(too far),off-grid system
521,522,None(too far),off-grid system
522,523,None(too far),off-grid system
523,524,Uape,national grid extension
524,525,Mocuba_HV,national grid extension
525,526,None(too far),off-grid system
526,527,Uape,national grid extension
527,528,Uape,national grid extension
528,529,Uape,national grid extension
529,530,None(too far),off-grid system
530,531,None(too far),off-grid system
531,532,Uape,national grid extension
532,533,Mocuba_HV,national grid extension
533,534,Uape,national grid extension
534,535,None(too far),off-grid system
535,536,None(too far),off-grid system
536,537,None(too far),off-grid system
537,538,None(too far),off-grid system
538,539,Uape,national grid extension
539,540,None(too far),off-grid system
540,541,Uape,national grid extension
541,542,Mocuba_HV,national grid extension
542,543,None(too far),off-grid system
543,544,None(too far),off-grid system
544,545,None(too far),off-grid system
545,546,None(too far),off-grid system
546,547,None(too far),off-grid system
547,548,None(too far),off-grid system
548,549,None(too far),off-grid system
549,550,Uape,national grid extension
550,551,Mocuba_HV,national grid extension
551,552,Mocuba_HV,national grid extension
552,553,None(too far),off-grid system
553,554,Mocuba_HV,national grid extension
554,555,None(too far),off-grid system
555,556,Moma,national grid extension
556,557,None(too far),off-grid system
557,558,None(too far),off-grid system
558,559,Mocuba_HV,national grid extension
559,560,Mocuba_HV,national grid extension
560,561,None(too far),off-grid system
561,562,Mocuba_HV,national grid extension
562,563,Mocuba_HV,national grid extension
563,564,Moma,national grid extension
564,565,None(too far),off-grid system
565,566,Mocuba_HV,national grid extension
566,567,Mocuba_HV,national grid extension
567,568,Mocuba_HV,national grid extension
568,569,Moma,national grid extension
569,570,Moma,national grid extension
570,571,Mocuba_HV,national grid extension
571,572,Mocuba_HV,national grid extension
572,573,Mocuba_HV,national grid extension
573,574,Mocuba_HV,national grid extension
574,575,Mocuba_HV,national grid extension
575,576,Uape,national grid extension
576,577,None(too far),off-grid system
577,578,Uape,national grid extension
578,579,None(too far),off-grid system
579,580,None(too far),off-grid system
580,581,None(too far),off-grid system
581,582,None(too far),off-grid system
582,583,None(too far),off-grid system
