cluster_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
2,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,26.800050000000002,42.20004999,60.0,40.30005,51.84534399,58.40424801,124.40393999999999,120.56142849,987.0006501,321.8161149,250.10437599,283.877874,420.50685,343.0564299,297.60555,244.95446001,174.99423,112.135434,84.93291,46.814283,36.670119989999996,40.10000001,25.840139001,21.000099999
5,8.627193332,10.466826668,10.656078668,11.061485332,10.450222,10.243322668,21.569689332,28.471253332,31.125025332,41.386948,51.758188,54.59279068,93.60486668,60.16512668,225.60486668,32.164629332,41.8302,22.671333332,25.655466668,16.556932,11.221626,14.5336,12.733433332,8.57362
6,11.090148333,16.683389997,22.664019666999998,16.198721333,19.89433683,22.028913337000002,46.860402332999996,47.304956163,336.781473033,117.61877530000001,96.30767233,108.27415567,163.57016667,129.39342496999998,155.60306666999998,89.692644003,68.78896,43.046311333,34.724836667,19.743994,15.02877983,17.000066670000002,11.796738000000001,9.143438333
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.313596666,5.233413334,5.328039334,5.530742666,5.225111,5.121661334,10.784844666,14.235626666,15.562512666,20.693474,25.879094,27.29639534,46.80243334,30.08256334,112.80243334,16.082314666,20.9151,11.335666666,12.827733334,8.278466,5.610813,7.2668,6.366716666,4.28681
10,4.313596666,5.233413334,5.328039334,5.530742666,5.225111,5.121661334,10.784844666,14.235626666,15.562512666,20.693474,25.879094,27.29639534,46.80243334,30.08256334,112.80243334,16.082314666,20.9151,11.335666666,12.827733334,8.278466,5.610813,7.2668,6.366716666,4.28681
11,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,11.090148333,16.683389997,22.664019666999998,16.198721333,19.89433683,22.028913337000002,46.860402332999996,47.304956163,336.781473033,117.61877530000001,96.30767233,108.27415567,163.57016667,129.39342496999998,155.60306666999998,89.692644003,68.78896,43.046311333,34.724836667,19.743994,15.02877983,17.000066670000002,11.796738000000001,9.143438333
17,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.627193332,10.466826668,10.656078668,11.061485332,10.450222,10.243322668,21.569689332,28.471253332,31.125025332,41.386948,51.758188,54.59279068,93.60486668,60.16512668,225.60486668,32.164629332,41.8302,22.671333332,25.655466668,16.556932,11.221626,14.5336,12.733433332,8.57362
23,4.313596666,5.233413334,5.328039334,5.530742666,5.225111,5.121661334,10.784844666,14.235626666,15.562512666,20.693474,25.879094,27.29639534,46.80243334,30.08256334,112.80243334,16.082314666,20.9151,11.335666666,12.827733334,8.278466,5.610813,7.2668,6.366716666,4.28681
24,13.246946666,19.300096664,25.328039334,18.964092666,22.50689233,24.589744004,52.252824665999995,54.422769496,344.562729366,127.9655123,109.24721933,121.92235334,186.97138334,144.43470664,212.00428333999997,97.733801336,79.24651,48.714144666,41.138703334,23.883226999999998,17.83418633,20.63346667,14.980096333,11.286843333
25,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8.93335,14.06668333,20.0,13.43335,17.28178133,19.46808267,41.46798,40.18714283,329.0002167,107.2720383,83.36812533,94.625958,140.16895,114.3521433,99.20185,81.65148667,58.33141,37.378478,28.31097,15.604761,12.22337333,13.36666667,8.613379667,7.000033333
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2.156798333,2.616706667,2.664019667,2.765371333,2.6125555,2.560830667,5.392422333,7.117813333,7.781256333,10.346737,12.939547,13.64819767,23.40121667,15.04128167,56.40121667,8.041157333,10.45755,5.667833333,6.413866667,4.139233,2.8054065,3.6334,3.183358333,2.143405
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
