ID,spam2017V2r1_SSA_P_ACOF_A.tif,spam2017V2r1_SSA_P_BANA_A.tif,spam2017V2r1_SSA_P_BARL_A.tif,spam2017V2r1_SSA_P_BEAN_A.tif,spam2017V2r1_SSA_P_CASS_A.tif,spam2017V2r1_SSA_P_CHIC_A.tif,spam2017V2r1_SSA_P_CNUT_A.tif,spam2017V2r1_SSA_P_COCO_A.tif,spam2017V2r1_SSA_P_COTT_A.tif,spam2017V2r1_SSA_P_COWP_A.tif,spam2017V2r1_SSA_P_GROU_A.tif,spam2017V2r1_SSA_P_LENT_A.tif,spam2017V2r1_SSA_P_MAIZ_A.tif,spam2017V2r1_SSA_P_OCER_A.tif,spam2017V2r1_SSA_P_OFIB_A.tif,spam2017V2r1_SSA_P_OILP_A.tif,spam2017V2r1_SSA_P_OOIL_A.tif,spam2017V2r1_SSA_P_OPUL_A.tif,spam2017V2r1_SSA_P_ORTS_A.tif,spam2017V2r1_SSA_P_PIGE_A.tif,spam2017V2r1_SSA_P_PLNT_A.tif,spam2017V2r1_SSA_P_PMIL_A.tif,spam2017V2r1_SSA_P_POTA_A.tif,spam2017V2r1_SSA_P_RAPE_A.tif,spam2017V2r1_SSA_P_RCOF_A.tif,spam2017V2r1_SSA_P_REST_A.tif,spam2017V2r1_SSA_P_RICE_A.tif,spam2017V2r1_SSA_P_SESA_A.tif,spam2017V2r1_SSA_P_SMIL_A.tif,spam2017V2r1_SSA_P_SORG_A.tif,spam2017V2r1_SSA_P_SOYB_A.tif,spam2017V2r1_SSA_P_SUGB_A.tif,spam2017V2r1_SSA_P_SUGC_A.tif,spam2017V2r1_SSA_P_SUNF_A.tif,spam2017V2r1_SSA_P_SWPO_A.tif,spam2017V2r1_SSA_P_TEAS_A.tif,spam2017V2r1_SSA_P_TEMF_A.tif,spam2017V2r1_SSA_P_TOBA_A.tif,spam2017V2r1_SSA_P_TROF_A.tif,spam2017V2r1_SSA_P_VEGE_A.tif,spam2017V2r1_SSA_P_WHEA_A.tif,spam2017V2r1_SSA_P_YAMS_A.tif
79,0,0.0,0.0,48.20000076293945,0,0,0,0,0,0,0,0,883.4000244140625,0.800000011920929,0,0,0.0,0.0,0,0,0,0,748.7000122070312,0,0,0.0,0.0,0,0,106.30000305175781,0.0,0,0,0.0,0,0,97.69999694824219,0,0.0,0.0,23.299999237060547,0
8,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2000000476837158,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,24.700000762939453,0
80,0,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0.0,1.0999999046325684,0,0,0.0,0.0,0,0,0,0,319.75,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,8.600000381469727,1.2999999523162842,27.049999237060547,0
81,0,0.0,0.0,48.20000076293945,0,0,0,0,0,0,0,0,883.4000244140625,0.800000011920929,0,0,0.0,0.0,0,0,0,0,748.7000122070312,0,0,0.0,0.0,0,0,106.30000305175781,0.0,0,0,0.0,0,0,97.69999694824219,0,0.0,0.0,23.299999237060547,0
82,0,0.0,0.0,39.0,0,0,0,0,0,0,0,0,719.9000244140625,1.100000023841858,0,0,0.0,0.0,0,0,0,0,652.4000244140625,0,0,0.0,0.0,0,0,79.0999984741211,0.0,0,0,0.0,0,0,73.19999694824219,0,0.0,0.0,18.600000381469727,0
83,0,0.0,0.0,48.20000076293945,0,0,0,0,0,0,0,0,883.4000244140625,0.800000011920929,0,0,0.0,0.0,0,0,0,0,748.7000122070312,0,0,0.0,0.0,0,0,106.30000305175781,0.0,0,0,0.0,0,0,97.69999694824219,0,0.0,0.0,23.299999237060547,0
84,0,0.0,0.0,34.70000076293945,0,0,0,0,0,0,0,0,0.0,1.2999999523162842,0,0,0.0,0.0,0,0,0,0,635.4000244140625,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,18.100000381469727,0
85,0,0.0,0.0,56.20000076293945,0,0,0,0,0,0,0,0,477.1000061035156,0.800000011920929,0,0,0.0,5.0,0,0,0,0,861.2000122070312,0,0,0.0,0.0,0,0,112.0,0.0,0,0,0.0,0,0,103.19999694824219,0,0.0,0.0,15.699999809265137,0
86,0,0.0,0.0,12.866666158040365,0,0,0,0,0,0,0,0,40.29999923706055,0.8000000317891439,0,0,0.0,0.0,0,0,0,0,213.33333333333334,0,0,0.0,0.550000011920929,0,0,3.200000047683716,2.799999952316284,0,0,0.0,0,0,0.0,0,6.0,0.8499999642372131,20.599999745686848,0
87,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0,0,53.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,13.5,0
