,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.4139610891282003,0.4991547029619826,0.5601729138814804,0.6266337846734698,0.5424902840386153,0.528950835723835,0.5540929222118466,0.6340293359891974,0.6355210761623884,0.5450483026878867,0.6339565712481442,0.554844376666913,0.6181635993228218,0.6591668458143269,0.6905924805008968,0.8016412165021867,0.8158135879021585,0.7413176086474575,0.8210627263138801,0.8256021040892693,1.0
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
