Darlo_ID,cluster_ID
0,1
1,2
1001,262
1013,263
1014,264
1018,265
1024,266
1025,267
1027,268
1031,269
1037,270
1038,271
104,34
1045,272
1048,273
105,35
1052,274
1053,275
1057,276
1064,277
1065,278
1067,279
1071,280
1077,281
1078,282
1087,283
1090,284
1101,285
1104,286
1105,287
1107,288
1117,289
1124,290
1129,291
1133,292
1134,293
1135,294
1137,295
1138,296
114,36
1144,297
1146,298
1147,299
1148,300
1149,301
1150,302
1153,303
1158,304
1159,305
1163,306
1165,307
1167,308
1168,309
1169,310
1175,311
1181,312
1183,313
1184,314
1185,315
119,37
1197,316
120,38
121,39
1215,317
122,40
1221,318
1222,319
1223,320
1225,321
1226,322
1227,323
1229,324
123,41
1231,325
124,42
1240,326
1241,327
1246,328
125,43
1256,329
1264,330
1271,331
1274,332
1277,333
128,44
1281,334
1287,335
1288,336
129,45
1291,337
1292,338
1295,339
1307,340
1308,341
1319,342
1322,343
1327,344
1328,345
1329,346
1332,347
1333,348
1338,349
1340,350
1341,351
1343,352
1344,353
1345,354
1347,355
135,46
1350,356
1352,357
1355,358
1356,359
1357,360
136,47
1361,361
1364,362
1368,363
137,48
1370,364
1375,365
1376,366
1379,367
1380,368
1385,369
1387,370
139,49
1394,371
1395,372
1397,373
1399,374
14,5
1403,375
1407,376
141,50
1412,377
1418,378
1421,379
1422,380
1424,381
1430,382
1431,383
1433,384
1434,385
1436,386
1438,387
1440,388
1441,389
1442,390
1445,391
1450,392
1453,393
1456,394
1461,395
1463,396
1464,397
1465,398
1467,399
1468,400
1472,401
148,51
1488,402
1494,403
150,52
1500,404
1503,405
1507,406
1508,407
1509,408
1513,409
1543,410
1548,411
155,53
1551,412
1555,413
1557,414
1558,415
156,54
1564,416
1569,417
1573,418
1582,419
1583,420
1589,421
1593,422
1594,423
1595,424
1597,425
16,6
160,55
1602,426
1605,427
1621,428
163,56
1635,429
1636,430
1637,431
1638,432
164,57
1640,433
1641,434
165,58
166,59
1664,435
1668,436
1670,437
1684,438
1692,439
1694,440
170,60
1708,441
171,61
1729,442
1732,443
1742,444
1744,445
1750,446
1752,447
1754,448
1760,449
1761,450
1762,451
1763,452
1764,453
1766,454
1769,455
177,62
1776,456
178,63
1780,457
1782,458
1784,459
1788,460
179,64
1799,461
1802,462
1806,463
1816,464
1818,465
1820,466
1827,467
1828,468
1829,469
1830,470
1843,471
1852,472
1854,473
1857,474
186,65
1860,475
1867,476
1874,477
1889,478
1899,479
1901,480
1903,481
1907,482
1911,483
1913,484
1918,485
1919,486
1928,487
193,66
1930,488
1938,489
1946,490
1948,491
1952,492
1954,493
1955,494
1957,495
1960,496
1964,497
1965,498
1968,499
1969,500
1970,501
1973,502
1974,503
1977,504
1980,505
1990,506
1991,507
1992,508
1997,509
1998,510
200,67
2002,511
2003,512
2007,513
2008,514
2009,515
2011,516
2012,517
2020,518
2025,519
2030,520
2036,521
2037,522
2045,523
2051,524
2052,525
2054,526
2062,527
2063,528
2064,529
2067,530
2071,531
2073,532
2077,533
208,68
2083,534
2088,535
2090,536
2091,537
2096,538
2099,539
21,7
2107,540
2108,541
2113,542
2117,543
2126,544
2129,545
2135,546
2138,547
2140,548
2142,549
2143,550
2145,551
2150,552
2154,553
2157,554
2158,555
2161,556
2170,557
2171,558
2172,559
2177,560
2178,561
218,69
2195,562
2196,563
2198,564
22,8
2200,565
2203,566
2206,567
2207,568
2210,569
2211,570
2215,571
2216,572
222,70
2220,573
2222,574
2223,575
2224,576
2229,577
2243,578
2244,579
2245,580
2249,581
2252,582
2264,583
2267,584
2278,585
2283,586
2288,587
2297,588
2298,589
2299,590
2301,591
2302,592
2303,593
2304,594
2305,595
2307,596
2309,597
2311,598
2315,599
2318,600
2329,601
2331,602
2333,603
2334,604
2336,605
2337,606
2338,607
2342,608
2343,609
2346,610
2348,611
2349,612
2351,613
2361,614
2377,615
2378,616
2379,617
2385,618
2388,619
2396,620
2405,621
2411,622
2414,623
2416,624
2426,625
2429,626
2431,627
2437,628
2448,629
2450,630
246,71
247,72
2472,631
2473,632
2476,633
2482,634
2484,635
2495,636
2496,637
2498,638
2499,639
25,9
2507,640
2509,641
2514,642
2517,643
252,73
2525,644
2538,645
254,74
2542,646
2545,647
2554,648
2555,649
2557,650
2562,651
2567,652
2576,653
2578,654
2584,655
2587,656
2596,657
2598,658
2599,659
2601,660
2606,661
2613,662
2615,663
2620,664
2621,665
2622,666
2626,667
2633,668
2636,669
2640,670
2643,671
2647,672
2653,673
2655,674
266,75
2666,675
2670,676
2673,677
2674,678
2676,679
2679,680
2683,681
2687,682
2692,683
2693,684
2694,685
27,10
2700,686
2701,687
2703,688
2705,689
2706,690
2708,691
2709,692
2711,693
2712,694
2723,695
2725,696
273,76
2738,697
2742,698
275,77
2750,699
2757,700
2759,701
2764,702
2767,703
2768,704
2769,705
2770,706
2771,707
2793,708
2795,709
2796,710
2811,711
2818,712
2832,713
2837,714
2840,715
2852,716
2853,717
2857,718
2860,719
2861,720
2868,721
2869,722
2870,723
2875,724
2876,725
2888,726
2890,727
2895,728
2897,729
2901,730
2903,731
2906,732
2910,733
2911,734
2916,735
2917,736
2918,737
2922,738
2926,739
2939,740
2950,741
2957,742
2959,743
2961,744
2962,745
2975,746
2976,747
2979,748
298,78
2985,749
299,79
2997,750
2998,751
3,3
300,80
3000,752
3004,753
3005,754
3006,755
3008,756
301,81
3013,757
3014,758
3016,759
3017,760
3020,761
3021,762
3027,763
303,82
3031,764
3045,765
3047,766
3055,767
3056,768
3059,769
3068,770
3069,771
3070,772
3071,773
3072,774
3073,775
3074,776
308,83
3080,777
3082,778
3086,779
3087,780
3091,781
3092,782
3094,783
3099,784
3102,785
3107,786
3109,787
312,84
3120,788
3121,789
3123,790
3125,791
313,85
3131,792
3138,793
3140,794
3142,795
3149,796
315,86
3150,797
3153,798
3156,799
3158,800
3159,801
3162,802
3177,803
3178,804
3187,805
3192,806
3194,807
3195,808
3198,809
3199,810
3203,811
3204,812
3205,813
3211,814
3216,815
3217,816
3221,817
3224,818
3225,819
3228,820
3233,821
3235,822
3236,823
3237,824
3240,825
3241,826
3247,827
3249,828
3251,829
3253,830
3256,831
3257,832
3259,833
3262,834
3265,835
3266,836
3267,837
3274,838
3281,839
3283,840
3290,841
3292,842
3298,843
33,11
330,87
3302,844
3303,845
3305,846
3312,847
3314,848
3316,849
3325,850
3331,851
3339,852
3341,853
3342,854
3346,855
3348,856
3358,857
3359,858
3361,859
3362,860
3363,861
3366,862
337,88
3374,863
3383,864
3384,865
3390,866
3399,867
3402,868
3405,869
3408,870
3411,871
342,89
3427,872
343,90
3430,873
3431,874
3435,875
3443,876
3444,877
3445,878
3447,879
3448,880
3449,881
3453,882
3459,883
3461,884
3463,885
3471,886
3472,887
3473,888
348,91
3486,889
3487,890
3488,891
3489,892
349,92
3492,893
3494,894
3497,895
3498,896
3501,897
351,93
3516,898
3521,899
3525,900
3529,901
3530,902
3531,903
3532,904
3534,905
354,94
3540,906
3542,907
3546,908
3547,909
3548,910
3553,911
3564,912
3567,913
3575,914
3581,915
3592,916
3597,917
36,12
3604,918
3606,919
361,95
3615,920
3617,921
3620,922
3621,923
3622,924
3624,925
3626,926
3628,927
3629,928
363,96
3632,929
3633,930
3637,931
3638,932
3639,933
3641,934
3645,935
3646,936
3647,937
365,97
3654,938
3657,939
366,98
3660,940
3662,941
3674,942
3675,943
3676,944
3677,945
3680,946
3682,947
3684,948
3693,949
3698,950
3701,951
3702,952
3704,953
3711,954
3717,955
3722,956
3733,957
3734,958
3738,959
3739,960
3741,961
3745,962
3750,963
3752,964
3753,965
3755,966
3762,967
3763,968
377,99
