,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.562410359142618,0.5587795498350244,0.6457595693546943,0.6832189266620298,0.710367711898751,0.6508055801259075,0.7235536502172042,0.7432219276038039,0.7977108673890265,0.7451683905993297,0.6477786849473471,0.6536781520430875,0.6522321706038786,1.0,0.666075919762404,0.6658264199052536,0.6484349716070602,0.7175405046696652,0.620463891066491,0.693178979588346,0.7346341027226434
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
