,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.9747860874405284,1.0,0.9426385225624715,0.9201232676378707,0.9482030760127689,0.9561089639908477,0.9136564809577551,0.9344055910313057,0.8770225462655745,0.8739585234690305,0.8856740301830494,0.9448885919556547,0.9139919930380177,0.8464191167923217,0.7906465543817135,0.7926706542260143,0.8208912594807903,0.8424939849087191,0.828386819901112,0.8512505029330348,0.8525945617677313
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
