X Y Z
37.8158331971462403 -15.7066664021380227 -1
37.8166665304762262 -15.7066664021380227 -1
37.8174998638062121 -15.7066664021380227 -1
37.818333197136198 -15.7066664021380227 -1
37.8191665304661839 -15.7066664021380227 -1
37.8199998637961698 -15.7066664021380227 -1
37.8208331971261558 -15.7066664021380227 -1
37.8216665304561417 -15.7066664021380227 -1
37.8224998637861276 -15.7066664021380227 -1
37.8158331971462403 -15.7074997354680352 -1
37.8166665304762262 -15.7074997354680352 10.1794614791870117
37.8174998638062121 -15.7074997354680352 4.99715995788574219
37.818333197136198 -15.7074997354680352 -1
37.8191665304661839 -15.7074997354680352 -1
37.8199998637961698 -15.7074997354680352 -1
37.8208331971261558 -15.7074997354680352 -1
37.8216665304561417 -15.7074997354680352 -1
37.8224998637861276 -15.7074997354680352 -1
37.8158331971462403 -15.7083330687980478 -1
37.8166665304762262 -15.7083330687980478 5.37731456756591797
37.8174998638062121 -15.7083330687980478 1.92093062400817871
37.818333197136198 -15.7083330687980478 7.73975419998168945
37.8191665304661839 -15.7083330687980478 -1
37.8199998637961698 -15.7083330687980478 -1
37.8208331971261558 -15.7083330687980478 -1
37.8216665304561417 -15.7083330687980478 -1
37.8224998637861276 -15.7083330687980478 -1
37.8158331971462403 -15.7091664021280621 -1
37.8166665304762262 -15.7091664021280621 -1
37.8174998638062121 -15.7091664021280621 -1
37.818333197136198 -15.7091664021280621 9.55511951446533203
37.8191665304661839 -15.7091664021280621 9.65161418914794922
37.8199998637961698 -15.7091664021280621 6.00270652770996094
37.8208331971261558 -15.7091664021280621 -1
37.8216665304561417 -15.7091664021280621 -1
37.8224998637861276 -15.7091664021280621 -1
37.8158331971462403 -15.7099997354580747 -1
37.8166665304762262 -15.7099997354580747 -1
37.8174998638062121 -15.7099997354580747 -1
37.818333197136198 -15.7099997354580747 9.15236663818359375
37.8191665304661839 -15.7099997354580747 9.04915142059326172
37.8199998637961698 -15.7099997354580747 10.4565315246582031
37.8208331971261558 -15.7099997354580747 9.19867610931396484
37.8216665304561417 -15.7099997354580747 -1
37.8224998637861276 -15.7099997354580747 -1
37.8158331971462403 -15.7108330687880891 -1
37.8166665304762262 -15.7108330687880891 -1
37.8174998638062121 -15.7108330687880891 1.58348429203033447
37.818333197136198 -15.7108330687880891 9.64608287811279297
37.8191665304661839 -15.7108330687880891 -1
37.8199998637961698 -15.7108330687880891 -1
37.8208331971261558 -15.7108330687880891 1.92777013778686523
37.8216665304561417 -15.7108330687880891 1.23450601100921631
37.8224998637861276 -15.7108330687880891 -1
37.8158331971462403 -15.7116664021181016 -1
37.8166665304762262 -15.7116664021181016 -1
37.8174998638062121 -15.7116664021181016 4.5017852783203125
37.818333197136198 -15.7116664021181016 7.28027009963989258
37.8191665304661839 -15.7116664021181016 -1
37.8199998637961698 -15.7116664021181016 -1
37.8208331971261558 -15.7116664021181016 -1
37.8216665304561417 -15.7116664021181016 -1
37.8224998637861276 -15.7116664021181016 -1
37.8158331971462403 -15.7124997354481142 -1
37.8166665304762262 -15.7124997354481142 -1
37.8174998638062121 -15.7124997354481142 -1
37.818333197136198 -15.7124997354481142 9.51357269287109375
37.8191665304661839 -15.7124997354481142 -1
37.8199998637961698 -15.7124997354481142 -1
37.8208331971261558 -15.7124997354481142 -1
37.8216665304561417 -15.7124997354481142 -1
37.8224998637861276 -15.7124997354481142 -1
37.8158331971462403 -15.7133330687781285 -1
37.8166665304762262 -15.7133330687781285 -1
37.8174998638062121 -15.7133330687781285 5.46923732757568359
37.818333197136198 -15.7133330687781285 -1
37.8191665304661839 -15.7133330687781285 -1
37.8199998637961698 -15.7133330687781285 -1
37.8208331971261558 -15.7133330687781285 -1
37.8216665304561417 -15.7133330687781285 -1
37.8224998637861276 -15.7133330687781285 -1
37.8158331971462403 -15.7141664021081411 -1
37.8166665304762262 -15.7141664021081411 -1
37.8174998638062121 -15.7141664021081411 -1
37.818333197136198 -15.7141664021081411 -1
37.8191665304661839 -15.7141664021081411 -1
37.8199998637961698 -15.7141664021081411 -1
37.8208331971261558 -15.7141664021081411 -1
37.8216665304561417 -15.7141664021081411 -1
37.8224998637861276 -15.7141664021081411 -1
