Unnamed: 0,X,Y,ID,Weight,Cluster,MV_Power,Population,Substation,geometry
28413.0,-132202.64088851007,3180868.934702649,20237.0,3.0,1.0,38.402097568423024,117.0,1.0,POINT (-132202.6408885101 3180868.934702649)
28414.0,-132502.88364537415,3181578.7679105587,20257.0,3.0,1.0,10.355128666418103,25.0,1.0,POINT (-132502.8836453742 3181578.767910559)
28415.0,-132223.29802731556,3180016.123988475,23290.0,3.0,1.0,39.8018130441556,122.0,1.0,POINT (-132223.2980273156 3180016.123988475)
28416.0,-132302.59626272178,3180645.5395359765,26904.0,3.0,1.0,59.789512904792325,193.0,1.0,POINT (-132302.5962627218 3180645.539535976)
20451.0,-136483.89769912744,3184406.7931121187,20463.0,1.0,10.0,0.0,0.0,1.0,POINT (-136483.8976991274 3184406.793112119)
28464.0,-136416.87019977305,3184762.0620305636,20455.0,3.0,10.0,16.80045857223973,44.0,1.0,POINT (-136416.8701997731 3184762.062030564)
28465.0,-136713.25950183102,3184474.5993287424,24626.0,3.0,10.0,41.499697280915186,128.0,1.0,POINT (-136713.259501831 3184474.599328742)
28466.0,-136610.4173348677,3184204.9281220026,29777.0,3.0,10.0,9.649663211549008,22.0,1.0,POINT (-136610.4173348677 3184204.928122003)
28467.0,-131961.77341271768,3185645.3687196686,27066.0,3.0,11.0,33.842601313442984,101.0,1.0,POINT (-131961.7734127177 3185645.368719669)
28468.0,-132006.22652853833,3185350.1118809283,27707.0,3.0,11.0,51.46983677080464,163.0,1.0,POINT (-132006.2265285383 3185350.111880928)
28469.0,-131819.46692451785,3184865.275123749,29821.0,3.0,11.0,14.304295885466793,37.0,1.0,POINT (-131819.4669245179 3184865.275123749)
28470.0,-140563.82513323615,3183149.172474698,29891.0,3.0,12.0,10.940614126951678,26.0,1.0,POINT (-140563.8251332362 3183149.172474698)
27480.0,-133527.46395633294,3185791.379682025,27618.0,1.0,13.0,0.0,0.0,1.0,POINT (-133527.4639563329 3185791.379682025)
28471.0,-133563.04045092294,3185871.6330272686,27616.0,3.0,13.0,40.456876008048894,124.0,1.0,POINT (-133563.0404509229 3185871.633027269)
28472.0,-133358.89657268825,3185481.3767566136,29909.0,3.0,13.0,50.68584882807868,160.0,1.0,POINT (-133358.8965726882 3185481.376756614)
28473.0,-133298.89657268825,3185931.3767566136,29967.0,3.0,13.0,97.41879091988152,331.0,1.0,POINT (-133298.8965726882 3185931.376756614)
25454.0,-134169.06187998306,3186079.9338232023,25555.0,1.0,14.0,0.0,0.0,1.0,POINT (-134169.0618799831 3186079.933823202)
25456.0,-134215.70378987194,3185972.889458725,25557.0,1.0,14.0,0.0,0.0,1.0,POINT (-134215.7037898719 3185972.889458725)
28474.0,-134170.09052034633,3185881.741928386,20715.0,3.0,14.0,43.39795546455129,135.0,1.0,POINT (-134170.0905203463 3185881.741928386)
28475.0,-133900.0240618899,3186395.5546600856,20724.0,3.0,14.0,12.64553370620413,31.0,1.0,POINT (-133900.0240618899 3186395.554660086)
28476.0,-134292.58682289952,3186148.7555434494,25133.0,3.0,14.0,90.44069291156393,305.0,1.0,POINT (-134292.5868228995 3186148.755543449)
28477.0,-134394.23857773258,3185921.6083806963,30030.0,3.0,14.0,15.956359967235839,42.0,1.0,POINT (-134394.2385777326 3185921.608380696)
26485.0,-138677.65262120846,3187204.7002625163,26603.0,1.0,15.0,0.0,0.0,1.0,POINT (-138677.6526212085 3187204.700262516)
28478.0,-138608.1068475335,3187385.714057937,25019.0,3.0,15.0,28.774191876187402,84.0,1.0,POINT (-138608.1068475335 3187385.714057937)
28479.0,-138838.91834224307,3186839.6501771067,30117.0,3.0,15.0,23.65202115667564,67.0,1.0,POINT (-138838.9183422431 3186839.650177107)
28480.0,-138748.91834224307,3187199.6501771067,30137.0,3.0,15.0,39.47651345505464,121.0,1.0,POINT (-138748.9183422431 3187199.650177107)
28481.0,-136185.44644998998,3188123.9217165373,27557.0,3.0,16.0,82.02892377057113,274.0,1.0,POINT (-136185.44644999 3188123.921716537)
