Conn_param,Cost,ID1,ID2,Length,geometry
0.0,3045.7224799281203,26904.0,20237.0,0.304572247992812,"LINESTRING (-132302.5962627218 3180645.539535976, -132202.6408885101 3180868.934702649)"
1.0,8527.062626053701,20237.0,20257.0,0.8527062626053699,"LINESTRING (-132202.6408885101 3180868.934702649, -132502.8836453742 3181578.767910559)"
2.0,7684.26557144955,26904.0,23290.0,0.768426557144955,"LINESTRING (-132302.5962627218 3180645.539535976, -132223.2980273156 3180016.123988475)"
3.0,2825.662894505019,29777.0,20463.0,0.282566289450502,"LINESTRING (-136610.4173348677 3184204.928122003, -136483.8976991274 3184406.793112119)"
4.0,2726.8751426184276,20463.0,24626.0,0.272687514261843,"LINESTRING (-136483.8976991274 3184406.793112119, -136713.259501831 3184474.599328742)"
5.0,3806.21965360348,20463.0,20455.0,0.38062196536034804,"LINESTRING (-136483.8976991274 3184406.793112119, -136416.8701997731 3184762.062030564)"
6.0,5501.05210958732,27066.0,27707.0,0.550105210958732,"LINESTRING (-131961.7734127177 3185645.368719669, -132006.2265285383 3185350.111880928)"
7.0,5534.8184308781065,27707.0,29821.0,0.5534818430878111,"LINESTRING (-132006.2265285383 3185350.111880928, -131819.4669245179 3184865.275123749)"
8.0,878.6151981745099,27616.0,27618.0,0.087861519817451,"LINESTRING (-133563.0404509229 3185871.633027269, -133527.4639563329 3185791.379682025)"
9.0,5016.983763662531,27618.0,29909.0,0.501698376366253,"LINESTRING (-133527.4639563329 3185791.379682025, -133358.8965726882 3185481.376756614)"
10.0,5030.252834137485,27618.0,29967.0,0.503025283413749,"LINESTRING (-133527.4639563329 3185791.379682025, -133298.8965726882 3185931.376756614)"
11.0,1054.76334272947,20715.0,25557.0,0.105476334272947,"LINESTRING (-134170.0905203463 3185881.741928386, -134215.7037898719 3185972.889458725)"
12.0,5407.31711827847,25557.0,30030.0,0.5407317118278471,"LINESTRING (-134215.7037898719 3185972.889458725, -134394.2385777326 3185921.608380696)"
13.0,1176.5879801593999,25557.0,25555.0,0.11765879801594001,"LINESTRING (-134215.7037898719 3185972.889458725, -134169.0618799831 3186079.933823202)"
14.0,1669.0937448060802,25555.0,25133.0,0.16690937448060802,"LINESTRING (-134169.0618799831 3186079.933823202, -134292.5868228995 3186148.755543449)"
15.0,4289.11382738515,25555.0,20724.0,0.42891138273851503,"LINESTRING (-134169.0618799831 3186079.933823202, -133900.0240618899 3186395.554660086)"
16.0,723.4584274420132,30137.0,26603.0,0.072345842744201,"LINESTRING (-138748.9183422431 3187199.650177107, -138677.6526212085 3187204.700262516)"
17.0,2961.3224291424212,26603.0,25019.0,0.296132242914242,"LINESTRING (-138677.6526212085 3187204.700262516, -138608.1068475335 3187385.714057937)"
18.0,5903.850729230122,26603.0,30117.0,0.590385072923012,"LINESTRING (-138677.6526212085 3187204.700262516, -138838.9183422431 3186839.650177107)"
19.0,7881.585921348755,30178.0,27557.0,0.788158592134876,"LINESTRING (-136438.0739929304 3187775.306104713, -136185.44644999 3188123.921716537)"
20.0,8212.79277454554,25409.0,25393.0,0.8212792774545539,"LINESTRING (-134595.0397159773 3189638.087562467, -133925.3343523339 3189213.574755087)"
21.0,8436.745484286832,25393.0,25377.0,0.843674548428683,"LINESTRING (-133925.3343523339 3189213.574755087, -133238.1446707682 3189074.645050367)"
22.0,2238.76982978637,25377.0,25367.0,0.22387698297863698,"LINESTRING (-133238.1446707682 3189074.645050367, -133044.4639183296 3188972.378989672)"
23.0,6801.49571516976,25367.0,24639.0,0.6801495715169761,"LINESTRING (-133044.4639183296 3188972.378989672, -133129.6066401489 3188308.411968725)"
24.0,6843.218027397932,24639.0,24645.0,0.684321802739793,"LINESTRING (-133129.6066401489 3188308.411968725, -133070.6148503791 3187633.003747749)"
25.0,5797.67470987067,25355.0,25367.0,0.579767470987067,"LINESTRING (-133040.3510008774 3189514.260131614, -133044.4639183296 3188972.378989672)"
26.0,3643.64391494425,25427.0,24639.0,0.364364391494425,"LINESTRING (-133213.6248120975 3188655.406208444, -133129.6066401489 3188308.411968725)"
27.0,1988.827859349297,24639.0,30271.0,0.19888278593493,"LINESTRING (-133129.6066401489 3188308.411968725, -133005.2038755976 3188273.689628742)"
28.0,2100.0,30432.0,30442.0,0.21,"LINESTRING (-134498.9663626322 3187696.510851925, -134588.9663626322 3187756.510851925)"
