ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
0,497,0.418559250822609,10.53,1.39,34.11,53.97,0.0,0.0,0.0,0.0,0.0,0.0,3.540880503144654,-0.6718,3.6442503048766275,0.0,0,1388,5.40436315536499,4.78568172454834,25.020000457763672,4.461199760437012,4.269162654876709
1,371,0.418559250822609,34.07,0.73,24.63,38.72,0.0,0.0,0.17,1.68,0.0,0.0,0.9389770723104056,-0.48285714285714276,4.669613487678053,0.0,0,1988,5.396787643432617,4.778181552886963,25.03333282470703,4.451000213623047,4.374007701873779
1001,209,0.418559250822609,20.85,4.7,60.6,8.71,0.57,0.69,0.69,0.0,0.0,3.21,0.7430555555555556,-0.8145,0.0,0.0,0,182,5.69783353805542,5.257083415985107,25.200002670288086,4.683333396911621,5.307483673095703
1013,155,0.418559250822609,19.11,6.57,44.34,29.97,0.0,0.0,0.0,0.0,0.0,0.0,69.42929292929293,-0.2353333333333333,1.7013487058666765,0.0,0,6838,5.315812587738037,4.4526872634887695,24.649999618530273,4.330250263214111,3.7363927364349365
1014,236,0.418559250822609,0.74,2.97,0.68,95.61,0.0,0.0,0.0,0.0,0.0,0.0,124.7978835978836,-0.4462,1.5928700554649926,0.0,0,24025,5.275100231170654,4.404499530792236,24.450000762939453,4.3107500076293945,4.966377258300781
1018,229,0.418559250822609,0.0,9.39,1.8,88.82,0.0,0.0,0.0,0.0,0.0,0.0,174.39478114478115,-0.0804,2.391878361220722,0.0,0,25682,5.29542875289917,4.43057107925415,24.03333282470703,4.341333389282227,4.8873515129089355
1024,244,0.418559250822609,19.96,4.99,35.73,30.94,2.0,0.4,5.99,0.0,0.0,0.0,-1.0,-0.8145,0.0,0.0,0,37,5.699749946594238,5.262125015258789,25.22500228881836,4.695749759674072,5.231382369995117
1025,410,0.418559250822609,1.02,1.93,9.5,87.55,0.0,0.0,0.0,0.0,0.0,0.0,25.145833333333332,-0.45799999999999996,11.732932053364445,0.0,0,1338,5.56884765625,4.979152679443359,26.024999618530273,4.525624752044678,2.8768982887268066
1027,549,0.418559250822609,0.83,48.5,1.96,48.71,0.0,0.0,0.0,0.0,0.0,0.0,34.098765432098766,-0.5213333333333333,0.7563169636416537,0.0,0,2141,5.566272735595703,5.0157270431518555,24.96666717529297,4.574666976928711,4.323590278625488
1031,108,0.418559250822609,4.91,14.51,11.31,69.26,0.0,0.0,0.0,0.0,0.0,0.0,52.84920634920635,-0.417,0.6664444268983173,0.0,0,8098,5.424750804901123,4.754500865936279,24.775001525878906,4.432000160217285,4.403995513916016
1037,147,0.418559250822609,0.0,42.03,18.41,38.8,0.0,0.0,0.0,0.76,0.0,0.0,93.58487654320987,-0.21033333333333334,1.464980002497042,0.0,0,9958,5.3272857666015625,4.487785816192627,24.399999618530273,4.350500106811523,4.175123691558838
1038,272,0.418559250822609,1.53,4.27,0.35,93.86,0.0,0.0,0.0,0.0,0.0,0.0,23.733187134502923,-0.32,8.858102230076055,0.0,0,2523,5.440851211547852,4.729370594024658,25.899999618530273,4.418666362762451,2.9952874183654785
104,84,0.418559250822609,16.54,0.0,67.15,11.81,0.0,0.34,0.0,4.16,0.0,0.0,8.08641975308642,-0.41059999999999997,0.9923049472297434,0.0,0,1247,5.55049991607666,5.046599864959717,25.100000381469727,4.575500011444092,4.15119743347168
1045,219,0.418559250822609,27.67,5.97,66.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6453333333333333,0.0,0.0,0,15,5.721428871154785,5.305285453796387,25.299999237060547,4.699999809265137,5.36765193939209
1048,380,0.418559250822609,0.0,9.66,0.0,90.34,0.0,0.0,0.0,0.0,0.0,0.0,40.06944444444444,-0.45380000000000004,0.6441153818807717,0.0,0,4299,5.388777732849121,4.66855525970459,24.899999618530273,4.395500183105469,4.3932318687438965
105,143,0.418559250822609,0.39,16.28,68.87,2.47,11.86,0.0,0.12,0.0,0.0,0.0,1.791951951951952,-0.04516666666666667,9.535258546869482,0.44579798292943396,0,2739,5.6128830909729,5.163046360015869,25.209089279174805,4.635909557342529,5.509847164154053
1052,230,0.418559250822609,0.0,18.62,0.0,81.38,0.0,0.0,0.0,0.0,0.0,0.0,28.22943722943723,-0.5940000000000001,0.923457084460831,0.0,0,3797,5.399071216583252,4.691500186920166,24.92500114440918,4.408249855041504,4.371978282928467
1053,108,0.418559250822609,0.36,15.47,7.66,72.32,1.14,0.0,0.0,3.05,0.0,0.0,40.21937321937322,-0.554,1.7861296006740905,0.0,0,8081,5.38070011138916,4.653450012207031,24.83333396911621,4.386000156402588,4.410514831542969
1057,353,0.418559250822609,0.22,15.11,24.62,60.04,0.0,0.0,0.0,0.0,0.0,0.0,27.006734006734007,-0.5703333333333332,6.932992781548172,0.0,0,653,5.529000282287598,4.898249626159668,25.975000381469727,4.491250038146973,2.7206242084503174
1064,211,0.418559250822609,5.8,13.07,45.99,13.44,0.0,8.26,4.69,0.0,0.0,8.75,-0.8400673400673401,-0.4486666666666667,0.0,0.0,0,361,5.740999698638916,5.338818073272705,25.399999618530273,4.709500312805176,5.511068344116211
1065,223,0.418559250822609,0.0,4.83,36.93,54.55,0.0,0.57,2.27,0.0,0.0,0.85,-1.0,-0.28,0.0,0.0,0,1296,5.74066686630249,5.338833332061768,25.399999618530273,4.708250045776367,5.506222724914551
1067,182,0.418559250822609,0.0,1.47,71.81,26.72,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.2755,0.0,0.0,0,3857,5.742499828338623,5.345375061035156,25.399999618530273,4.711999893188477,5.415808200836182
1071,313,0.418559250822609,0.87,2.69,5.1,91.34,0.0,0.0,0.0,0.0,0.0,0.0,253.24002704530088,-0.214,2.743943656706657,0.0,0,22591,5.291237831115723,4.416047096252441,24.23333168029785,4.334333419799805,4.484823703765869
1077,43,0.418559250822609,0.0,10.61,0.0,89.39,0.0,0.0,0.0,0.0,0.0,0.0,39.0462962962963,-0.40360000000000007,0.0,0.0,0,11180,5.4101762771606445,4.708764553070068,24.799999237060547,4.424499988555908,4.475616455078125
1078,141,0.418559250822609,0.72,34.64,38.26,21.3,2.32,0.0,1.45,0.0,0.0,1.3,4.868055555555555,-0.4713333333333334,0.6541306594346279,0.0,0,147,5.706599712371826,5.278500080108643,25.299999237060547,4.679749965667725,5.0998053550720215
1087,276,0.418559250822609,0.23,3.14,1.61,95.02,0.0,0.0,0.0,0.0,0.0,0.0,206.76513098464318,-0.23275000000000004,3.3527753285103583,0.0,0,23427,5.2913126945495605,4.424187660217285,24.066665649414062,4.334666728973389,5.07340669631958
1090,67,0.418559250822609,0.07,11.7,0.43,86.54,0.14,0.0,0.0,1.11,0.0,0.0,39.01712962962963,-0.36733333333333335,2.1986454832736815,0.0,0,10001,5.419807434082031,4.728384494781494,24.799999237060547,4.433199882507324,4.491606712341309
1101,98,0.418559250822609,3.98,16.47,11.06,68.26,0.24,0.0,0.0,0.0,0.0,0.0,53.2034632034632,-0.486,0.6574731722802788,0.0,0,9779,5.373823642730713,4.63276481628418,24.849998474121094,4.380749702453613,4.347687721252441
1104,395,0.418559250822609,0.5,26.65,31.86,40.59,0.4,0.0,0.0,0.0,0.0,0.0,29.69541910331384,-0.6012500000000001,0.0,0.0,0,1462,5.557159900665283,4.984319686889648,24.85999870300293,4.5543999671936035,4.255084991455078
1105,499,0.418559250822609,5.41,16.9,4.25,72.86,0.58,0.0,0.0,0.0,0.0,0.0,44.382716049382715,-0.4113333333333333,0.786158933887132,0.0,0,3203,5.5394287109375,4.9562859535217285,24.799999237060547,4.544000148773193,4.350493431091309
1107,572,0.418559250822609,9.77,23.92,6.89,59.42,0.0,0.0,0.0,0.0,0.0,0.0,48.99438832772166,-0.11424999999999999,1.0893041073907577,0.0,0,3422,5.522600173950195,4.924466609954834,24.600000381469727,4.532249927520752,4.263296604156494
1117,619,0.418559250822609,0.0,30.29,0.0,68.06,1.65,0.0,0.0,0.0,0.0,0.0,47.883597883597886,-0.18633333333333332,0.6772832903495597,0.0,0,3856,5.511538505554199,4.902230739593506,24.700000762939453,4.517499923706055,4.296849250793457
1124,289,0.418559250822609,1.32,41.91,8.24,45.17,0.0,0.0,2.14,0.0,0.0,1.22,4.378066378066378,-0.5186666666666667,0.49850839601853986,0.0,0,240,5.7208333015441895,5.304749965667725,25.399999618530273,4.699000358581543,5.18817663192749
1129,525,0.418559250822609,4.11,12.14,9.07,38.9,0.0,0.0,0.0,35.79,0.0,0.0,35.27200577200577,-0.4113333333333333,0.8727341111738601,0.0,0,1613,5.57319974899292,5.023099422454834,24.899999618530273,4.5717997550964355,4.367039203643799
1133,544,0.418559250822609,9.39,22.1,9.39,59.13,0.0,0.0,0.0,0.0,0.0,0.0,44.88055555555555,-0.351,0.9381200555661774,0.0,0,3111,5.508066654205322,4.896866321563721,24.566665649414062,4.523000240325928,4.263247489929199
1134,200,0.418559250822609,29.34,4.13,57.64,1.45,0.0,0.0,7.44,0.0,0.0,0.0,-1.0,-0.6453333333333333,0.0,0.0,0,112,5.7235002517700195,5.311374664306641,25.299999237060547,4.706500053405762,5.3441009521484375
1135,396,0.418559250822609,0.0,16.94,6.89,76.17,0.0,0.0,0.0,0.0,0.0,0.0,25.669753086419753,-0.5750000000000001,3.5828009731434496,0.0,0,1134,5.541363716125488,4.925181865692139,26.03333282470703,4.506999969482422,2.705895185470581
