;ID;residential_area;n_residential_area;admin_0;admin_1;admin_2;admin_3;OSM;urban_percentage;n_buildings;area;extension;population_facebook;population_worldpop;population_density;building_density;night_lights;schools;hospitals;distance_road;distance_grid;distance_official_substations;distance_substations;grid_buildings;lights_build;centroid;polygons;Existing_220.0:;Planned_220.0:;Existing_110.0:;Planned_400.0:;Planned_110.0:;dist_from_city;HDI;Trees_cover_areas;Shrubs_cover_areas;Grassland;Cropland;Vegetation_aquatic_or_regularly_flooded;Lichen_Mosses_/_Sparse_vegetation;Bare_areas;Built_up_areas;Snow_and/or_Ice;Open_water;elevation_average;average_wealth_index;roads_extension;rivers_extension;close_to_roads_buildings_perc;proximity_to_water;GHI;DNI;TEMP;PVOUT;wind_50;geometry
628;3249;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;154.0;0.3847020358272405;1.1176626423516445;250.11112280474399;234.2735137939453;608.9739382069488;400.3098129409362;0.0;0;0;25.18660055957161;59.78115991444042;0;0;0;0.0;POINT (238278.0140681118 8242168.396019422);"0    POLYGON ((237908.836 8242377.780, 237908.718 8...
Name: geometry, dtype: geometry";;;;;;210;0.418559250822609;19.36;4.87;4.47;71.3;0.0;0.0;0.0;0.0;0.0;0.0;355.2024691358025;-0.4239999999999999;0.3850440226470182;0.0;0;15406;5.423364162445068;4.638908863067627;22.19999885559082;4.462333679199219;3.2576940059661865;POINT (238278.0140681118 8242168.396019422)
629;3251;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;373.0;0.9807786743863588;2.4009670333588278;349.80258445179186;362.60137939453125;369.7076505271682;380.3100635659456;0.0;0;0;0.22286293764324944;0.9434056464596566;0;0;0;0.0;POINT (375864.6881856821 8242375.86163778);"0    POLYGON ((374912.840 8242734.550, 374912.567 8...
Name: geometry, dtype: geometry";;;;;;160;0.418559250822609;38.56;1.97;27.09;31.8;0.0;0.58;0.0;0.0;0.0;0.0;170.1236842105263;-0.3548;2.5643293263665856;0.0;0;47870;5.40245246887207;4.5473222732543945;22.65714454650879;4.422286033630371;4.204893112182616;POINT (375864.6881856821 8242375.86163778)
630;3253;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;237.0;0.6857159650598412;1.9942803334465855;210.53025570367652;129.21942138671878;188.44452801305567;345.62415355068686;0.0;1;0;12.19645281136412;96.36078940066736;0;0;0;0.0;POINT (185811.293694932 8242466.642196883);"0    POLYGON ((185455.330 8242954.361, 185454.163 8...
Name: geometry, dtype: geometry";;;;;;576;0.418559250822609;0.17;2.43;0.17;97.24;0.0;0.0;0.0;0.0;0.0;0.0;280.97979797979804;-0.491;1.8607288640724795;0.0;0;31371;5.390862941741943;4.550635814666748;21.850000381469727;4.439333438873291;4.392514228820802;POINT (185811.293694932 8242466.642196883)
631;3256;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;248.0;0.7514214046283082;2.035521032027786;459.00635085456184;433.7669982910156;577.2619672786392;330.0411706034293;0.0;0;0;4.076546485891007;6.38691305812287;0;0;0;0.0;POINT (442913.6444978191 8243735.286238487);"0    POLYGON ((442091.349 8243563.658, 442091.111 8...
Name: geometry, dtype: geometry";;;;;;263;0.418559250822609;0.86;7.79;75.73;15.62;0.0;0.0;0.0;0.0;0.0;0.0;130.55315055315054;-0.3588333333333333;0.0;0.0;0;26925;5.435625076293945;4.551958084106445;24.149999618530273;4.414833545684815;4.372484683990479;POINT (442913.6444978191 8243735.286238487)
632;3257;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;139.0;0.3696284522101849;1.199987203047743;135.01152382349866;149.27923583984375;403.8629465541193;376.05330208984907;0.0;0;0;0.02558222723320162;3.2976347523434644;0;0;0;0.0;POINT (372039.8827648108 8242810.61249135);"0    POLYGON ((371677.474 8242857.022, 371675.651 8...
Name: geometry, dtype: geometry";;;;;;170;0.418559250822609;21.59;1.83;41.85;34.73;0.0;0.0;0.0;0.0;0.0;0.0;262.2696759259259;-0.6462;1.0043689324400804;0.0;0;51222;5.40038537979126;4.550230979919434;22.61999893188477;4.420400142669678;4.083528518676759;POINT (372039.8827648108 8242810.61249135)
633;3259;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;112.0;0.2995518698334458;0.9365800061777992;168.76440477937334;114.28107452392578;381.5067974286635;373.89184070950137;0.0;0;0;0.0704246877198981;4.6041258000548675;0;0;0;0.0;POINT (370289.5499996033 8242690.016846755);"0    POLYGON ((370006.055 8242614.298, 370005.761 8...
Name: geometry, dtype: geometry";;;;;;195;0.418559250822609;13.93;0.37;62.15;23.55;0.0;0.0;0.0;0.0;0.0;0.0;326.1604938271605;-0.63225;0.4880574650783439;0.0;0;52894;5.402100563049316;4.551199913024902;22.60000038146973;4.422499656677246;3.9969213008880615;POINT (370289.5499996033 8242690.016846755)
634;3262;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;109.0;0.3604057708314833;1.1878550862569321;310.5060317883274;609.169677734375;1690.2328626119793;302.43688870055763;0.0;0;0;29.817080136297694;69.97315489279825;0;0;0;0.0;POINT (221968.304947977 8242609.698456461);"0    POLYGON ((221566.257 8242457.255, 221566.071 8...
Name: geometry, dtype: geometry";;;;;;163;0.418559250822609;15.4;2.6;11.45;70.55;0.0;0.0;0.0;0.0;0.0;0.0;311.8428731762065;-0.4545;3.5554944319433286;0.0;0;21283;5.362866401672363;4.493599891662598;22.325000762939453;4.401000022888184;3.433268547058105;POINT (221968.304947977 8242609.698456461)
635;3265;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;116.0;0.29973339886726746;0.8668668548681848;82.847980528056;135.75868225097656;452.9314476265466;387.01059154028036;0.0;1;0;0.021571825128147558;6.069947739793246;0;0;0;0.0;POINT (368062.9374864231 8242810.19319467);"0    POLYGON ((367773.265 8242969.973, 367772.962 8...
Name: geometry, dtype: geometry";;;;;;193;0.418559250822609;15.67;3.36;30.6;50.37;0.0;0.0;0.0;0.0;0.0;0.0;359.0198412698412;-0.524;0.7854664486948829;0.0;0;54933;5.409916400909424;4.568333148956299;22.625;4.427999973297119;3.8241372108459473;POINT (368062.9374864231 8242810.19319467)
636;3266;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;170.0;0.3758993360937472;1.3656539570765325;257.49789925641255;365.8446350097656;973.2516125501378;452.2487370331587;0.0;0;0;8.965136852427623;101.16376618400616;0;0;0;0.0;POINT (178778.0600657268 8242973.163559292);"0    POLYGON ((178592.841 8243173.754, 178592.479 8...
Name: geometry, dtype: geometry";;;;;;445;0.418559250822609;0.0;0.3;3.48;96.22;0.0;0.0;0.0;0.0;0.0;0.0;429.7481481481482;-0.5296666666666667;2.7169641477018387;0.0;0;26251;5.460428714752197;4.668642520904541;21.94999885559082;4.498833179473877;4.3572139739990225;POINT (178778.0600657268 8242973.163559292)
637;3267;0.0;0;['Mozambique'];0;0;0;No OSM location found;0.0;234.0;0.4481946697975081;1.7139817883398094;429.93142862999184;933.9774780273438;2083.8656525061083;522.0945624045909;0.0;0;0;30.345751719201655;71.82376155245426;0;0;0;0.0;POINT (219075.6458727931 8242956.525431928);"0    POLYGON ((218875.949 8243314.567, 218873.978 8...
Name: geometry, dtype: geometry";;;;;;213;0.418559250822609;8.0;5.61;27.54;58.86;0.0;0.0;0.0;0.0;0.0;0.0;268.6797839506173;-0.5391666666666667;1.6138859807714052;0.0;0;23213;5.357733726501465;4.480733394622803;22.349998474121094;4.395250320434569;3.469576358795166;POINT (219075.6458727931 8242956.525431928)
