ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:
0,100.00000026220252,1,['Mozambique'],0,0,0,No OSM location found,0.0,305.0,0.6858225947790597,1.9462257399580956,1777.1255702819803,1216.7222900390625,1774.106451583203,444.7214225980071,0.0,1,0,15.354916519187542,1.2022174050922358,0,0,0,0.0,POINT (210479.5723526014 7930717.961576941),,,,,
1,100.00001733920756,1,['Mozambique'],0,0,0,No OSM location found,0.0,569.0,0.7808536218990246,3.2252864177472027,3093.5148816019655,2489.962890625,3188.7703671905197,728.6897109040748,0.0,1,1,11.727395401099722,4.413719980323241,0,0,0,0.0,POINT (209290.1884563535 7934214.21586091),,,,,
1001,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,239.0,0.3520607797887204,1.0545728856168786,159.86012708346965,396.12249755859375,1125.1537242981617,678.8600540606349,0.0,0,0,10.008180543444798,111.86470682518504,0,0,0,0.0,POINT (441970.0188450009 8103661.26240921),,,,,
1013,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,177.0,0.5000181764883257,1.1429665021853261,413.7371302091118,359.43048095703125,718.8348301282666,353.98713151407316,0.0,0,1,0.06772973621550908,0.20546738912434545,0,0,0,0.0,POINT (283942.3245829156 8105914.444478539),0.6955167721832057,,,,
1014,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,196.0,0.6102180268875986,1.7585927863163862,718.2400849132227,708.82861328125,1161.5989401306483,321.19667293294,0.0,2,0,8.39868320926128,36.15746777606214,0,0,0,0.0,POINT (140920.2516194337 8106040.775824174),,,,,
1018,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,160.0,0.458624707090115,1.3770126630550883,370.3425437833805,638.9003295898438,1393.0787410986702,348.86912442020196,0.0,0,0,0.0167079043885477,29.38164906240505,0,0,0,0.0,POINT (149574.4959802686 8104816.179999095),,,,,
1024,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,186.0,0.20249627120066782,0.7496294760293937,159.86012708346965,262.60809326171875,1296.8539702219105,918.5354322681799,0.0,0,0,10.215978703517495,113.19696486069681,0,0,0,0.0,POINT (440805.5818227822 8103011.077697108),,,,,
1025,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,811.0,1.9545452151791582,2.466781940998334,643.1837488059733,2035.3419189453125,1041.3378535009988,414.93028337318964,0.0,2,0,0.34679413451965946,31.39804626839655,0,0,0,0.0,POINT (108477.3069821247 8102696.131407179),,,,,
1027,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,125.0,0.37062506104812165,0.9282786858369644,330.7450905175234,396.06011962890625,1068.627465473745,337.2680726082096,0.0,1,1,11.495070484158967,102.17348062663521,0,0,0,0.0,POINT (423250.7878637378 8103508.658312626),,,,,
1031,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,127.0,0.3283901118207369,0.8602135072766565,371.60173572131856,425.693115234375,1296.3030856019022,386.735152577698,0.0,0,0,3.5790143735415345,69.69840355274653,0,0,0,0.8217769867599419,POINT (390241.1221944296 8100507.737877601),,,,,
1037,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,151.0,0.3998870764759495,0.995218700164976,402.08256316096777,371.04412841796875,927.8722675607261,377.6066016704134,0.0,0,0,0.06393024054595327,0.20724644378939275,0,0,0,0.0,POINT (283029.1355852069 8099985.63635659),0.7432936245904244,,,,
1038,100.00000351837457,2,['Mozambique'],0,0,0,No OSM location found,0.0,329.0,0.9626033214679843,2.4187394104847644,294.792551536071,827.3572998046875,859.4997350964418,341.7814926072249,0.0,2,0,0.2238590754658891,34.792770591921006,0,0,0,0.0,POINT (114201.2586622908 8099719.327734742),,,,,
104,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,134.0,0.33773492507084896,0.9273024225490635,925.6189881560388,444.9859924316406,1317.5598950516974,396.7608620040995,0.0,0,0,0.02511751286861987,24.594117271420135,0,0,0,0.0,POINT (286737.3319024883 8014540.391129964),,,,,
1045,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,107.0,0.13547752177883374,0.6665090966116833,108.85790216970062,227.21438598632812,1677.1371590133917,789.7989171567286,0.0,0,0,11.7667102005028,99.27850148931273,0,0,0,0.0,POINT (454219.9614735855 8107355.174275829),,,,,
1048,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,140.0,0.33764158336446637,0.8608512344022156,480.89636387464753,349.9537048339844,1036.4650625874708,414.64087037193326,0.0,1,0,6.567859170176079,77.14583798691565,0,0,0,0.0,POINT (398505.6742074707 8110163.543468002),,,,,
105,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,641.0,1.5476624028904027,3.9647525486009836,1490.0208102024037,2151.697509765625,1390.2886739040316,414.17301266921856,0.0,2,1,1.3180383135607738,28.579409738934043,0,0,0,0.0,POINT (289188.2142354457 8011283.312388946),,,,,
1052,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,124.0,0.3683737842066738,1.0744446153689262,349.74281009065277,293.35626220703125,796.3548840447494,336.6146162302108,0.0,1,0,3.9733789761845935,74.80901782572641,0,0,0,0.0,POINT (396124.5870142092 8108427.691334175),,,,,
