,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,,,,,,,,,0.9372381043892727,0.8952437146767522,0.8790062235423052,0.8949684797206199,0.8653823870589029,0.9272517770040508,0.9404203494034307,0.8789738026275438,0.9040530942922637,0.8947006888415929,0.8984168504912944,0.9552084983151409,0.9366811698837323,1.0,0.9415390178852768,0.9245095161261728,0.9051466879880706,0.9424859828517848,0.9926215483112278,0.898804138397539,0.9216026040165302
1,,,,,,,,,0.8936408975851284,0.7721977354369839,0.8706430815703912,0.9312371647568949,0.9420151798825425,0.8907943562758129,0.9466335316481888,1.0,0.9546947821347088,0.9665029209435618,0.9094500659479691,0.9490253418857564,0.9379085857237004,0.9059494000876875,0.8574272817678249,0.7955082573967005,0.7643975194995428,0.9248673976393635,0.9053759444414567,0.7642641537467288,0.8690577325019119
1001,,,,,,,,,0.9061815253235305,0.9032790989304128,0.8555068192143692,0.9668092491097583,0.8672373207234266,0.9684049715391801,0.9247095952184915,0.9604559503429794,0.8102386635851002,0.8742686170859609,0.8147881304129145,0.7973590603275986,0.934378539766833,0.7897428359902494,0.9263812001959975,0.9157389971115989,0.9371921933072241,0.9240932116575051,0.9360590625651609,0.9959154759213974,1.0
1013,,,,,,,,,0.5937655816125067,0.5929967581455501,0.6514263861467459,0.6393119129341439,0.6695678834507042,0.6535027751561324,0.7068532991110832,0.7519286897506843,0.763687454074493,0.690692718504896,0.7030829454117757,0.6826919247623149,0.7994308657779308,0.8625128388856202,1.0,0.8802435530009302,0.8791104212576248,0.969872332345767,0.9248561819315478,0.8868050003642318,0.965740345735128
1014,,,,,,,,,0.5152588843486915,0.4785603653078345,0.4867125677470994,0.5674005474070611,0.5607495088460841,0.536060657233211,0.6475095363369657,0.6756791363622637,0.615626295601109,0.6850889183312677,0.6166627764883237,0.6712195793345604,0.6991403461865603,0.7439588943149785,0.7293765575563442,0.7491006041591687,0.7521383128825729,0.8926403441777508,0.8945781325148104,0.911425304752597,1.0
1018,,,,,,,,,0.44852166593222537,0.38299585733652464,0.4074419586275956,0.4218588558380226,0.4144810669148137,0.39154637761543787,0.40746212230136,0.41107267203909836,0.37811318271630334,0.37925948972865914,0.3690748915112315,0.4001582956333082,0.8224406749744457,0.7768649001906784,0.8752995514510894,0.8981087682965909,0.7930041291922415,0.8402815971460328,0.9432968996905157,0.8618017205356266,1.0
1024,,,,,,,,,0.9108129387079812,0.8190956229040057,0.876855510544702,0.9420454620345659,0.8647808662724975,0.9252747788232429,1.0,0.9517783776907295,0.8672329677470936,0.9830782697343575,0.841286825042177,0.8589222509752321,0.9124040253740412,0.7795725534787454,0.9361218079660046,0.8865810369443521,0.8535261631937938,0.9834440712167223,0.9837412391543522,0.9880075695277446,0.9798149477203445
1025,,,,,,,,,0.5209359700342368,0.43163967068501996,0.490731546480288,0.4650236487738548,0.46462215423439357,0.3933114257891125,0.45670813242631775,0.5010505951277945,0.4679426844712988,0.48665589766724215,0.5761023314798557,0.572622907382771,0.593047317995177,0.778765965531534,0.8007093993173102,0.9015126439895735,0.8339979825165635,0.9364084833133758,1.0,0.8482370875309214,0.9788706310045798
1027,,,,,,,,,0.44216497208777084,0.5421938907255082,0.5831362387490766,0.6056769933007653,0.6699892966078288,0.7072673185929859,0.7120165180861356,0.7178526887590408,0.6668547959737664,0.7026424842258571,0.6817736664587255,0.6850004669935456,0.7707079672095613,0.8211842257072205,0.8681774615429567,0.7805471466194912,0.7835330583981672,0.8369347442698394,0.9283279283616918,0.912923734210249,1.0
1031,,,,,,,,,0.6734111960321348,0.7270603821647411,0.7735619810968154,0.7677703891789118,0.7833694215010029,0.7683304949202632,0.7852918807398122,0.8413176616054217,0.8661663599357863,0.8753140825662942,0.867750774086163,0.9451033851029782,0.9690371893045078,1.0,0.9963401055739184,0.977352992509705,0.9346867217478817,0.8705912535760985,0.8799472607273946,0.944740119095722,0.8732572000689655
1037,,,,,,,,,0.32645463966243915,0.4008337737818899,0.4395708578445287,0.4325230812368382,0.45502363896065334,0.4501208668134207,0.4782108566504534,0.5117713041835017,0.5052729888159383,0.4845938624526468,0.46822210308122086,0.5543470206886882,0.7217842391114587,0.7619105685531191,0.8091531073812248,0.8697386387594197,0.79091407268454,0.8390063240683213,0.7986229219290607,0.8445567088511102,1.0
1038,,,,,,,,,0.5740692810678576,0.48192729216566443,0.5737214176617063,0.5351368850494732,0.6964613109072888,0.6549355872668485,0.739846843171813,0.7672427233801743,0.7968651459324884,0.7419470162837403,0.779043062674602,0.7591802529488216,0.7633709577828804,0.8159956740579176,0.8545207600261173,0.8934235616180706,0.8867193413084985,0.9369822264330405,1.0,0.9598872813260613,0.9825701202296775
104,,,,,,,,,0.7438946458061368,0.7260465590598832,0.7929631051892737,0.8096363726726532,0.7696362832477807,0.9708928058893845,0.9930459263789101,1.0,0.9482122506228357,0.9602477206545832,0.7712114507861392,0.9138264094692685,0.9140803245159835,0.9568330662911739,0.9292943328534772,0.9116978395466709,0.9554124146142942,0.9144311451697585,0.9515518396845916,0.9492849191659342,0.9764148777536197
1045,,,,,,,,,0.6175406894618575,0.5814223740649103,0.5101525842449032,0.5642037355802096,0.529212395960682,0.5450293129632564,0.4768618404229821,0.4865906188149817,0.4422083956066701,0.39014462651596715,0.320547345282588,0.6510107013216352,0.6798802071026524,0.6185271349319983,1.0,0.9351138300201578,0.926481725263532,0.8431264232699338,0.8449604804458817,0.906591455776168,0.902983757203592
1048,,,,,,,,,0.8894966799641194,0.8075071819859675,0.8498664133195324,0.7903248762209693,0.7668363862380705,0.7274261782399044,0.7864541396197703,0.8447281230833921,0.8266708071466182,0.7834728199074867,0.8136970834155255,0.6969326991000393,0.78813893394726,0.7574039444008372,0.8398030839240351,0.8748052322663602,0.8916097970742649,0.947424348111881,1.0,0.9049079094143622,0.9048144240685265
105,,,,,,,,,0.9584880396343897,0.759819976343066,0.852395183015026,0.8865031515394296,0.8031761793507892,0.8308529762219324,0.8627434062113913,0.8312329051032473,0.8287136743298343,0.8576907544187121,0.6694654615940181,0.8243701542485161,0.7783804917066984,0.7806711018524741,0.9143721419703107,0.9562932816090717,1.0,0.9153571951288203,0.9502954289575399,0.8852614778428826,0.9225913933386093
1052,,,,,,,,,0.7363281044435277,0.753821550735607,0.7909841768965148,0.7155752482612777,0.7269118148654663,0.7237414119626691,0.7453314535750598,0.8055655354549913,0.7819706276941668,0.7685387586448849,0.8161689963325223,0.673529451892373,0.8046834567195403,0.7999024821255128,0.81143713800306,0.8725193850071953,0.8850060258380138,0.9565914221952242,1.0,0.9117231947661293,0.9195832913744433
1053,,,,,,,,,0.30277252807625504,0.3953938202361617,0.4389789360138307,0.44705657092748796,0.43849007418613967,0.4554174671609082,0.47052837947952486,0.5338762328780334,0.5553420791839484,0.4825221695820776,0.5356709968330036,0.4936731898151639,0.591168397640622,0.643615984517206,0.5958934662269552,0.6947882884663139,0.8690138958561432,0.7999153992858308,0.9245312261209021,0.9321089385267632,1.0
1057,,,,,,,,,0.58617859338977,0.6222347235040937,0.6594864226789486,0.6425156989294831,0.6634669119944752,0.4919263944018296,0.538008138493902,0.564790600413867,0.5611853007131777,0.6179828081448261,0.5825942772638474,0.5901033463731066,0.5636787183018162,0.663774616124257,0.6601623081569462,0.9633857645120177,0.8858638645033274,0.9203827931718706,0.9885639105270266,0.9125663497336116,1.0
1064,,,,,,,,,0.706738113463734,0.7166532867999998,0.6600682730015557,0.7425669517092711,0.6580784889317106,0.7012978800255428,0.6869569901413153,0.7015162683387072,0.6705075352995905,0.71632385576776,0.6918236533286721,0.6214929867688495,0.6440431277367861,0.6101829225669844,0.9094166547226602,0.9567466469440812,0.9876287319574927,0.8751634795586389,0.9540288301806458,0.994920408207308,1.0
1065,,,,,,,,,0.6855034627410991,0.7297794284664866,0.6496773585543962,0.7774103626091621,0.7143354098503265,0.7162078514573477,0.7072459005301642,0.6981819280194475,0.6940756921857556,0.72089712300101,0.6786556928623554,0.627324192792279,0.6351921301778007,0.6359815771541246,0.9379032172320302,0.9570636535422415,1.0,0.8462686004533219,0.9136900303020051,0.9763543836417501,0.9498402741195745
1067,,,,,,,,,0.4699305246124013,0.5928893237375799,0.6022650215814436,0.6242134553125458,0.5980135447058037,0.6960320403162901,0.7559218532586474,0.6786276369193464,0.7515516931574688,0.7907459628488267,0.826856476735422,0.7568645332075873,0.7549070909072654,0.741910931493674,0.9071602891743795,0.9534825459836911,0.9665502338523474,0.7961077579983943,0.9656110853179364,0.9609732301467857,1.0
1071,,,,,,,,,0.46061987878223437,0.3863606681475345,0.3365848625123191,0.3749713850627484,0.349419199928311,0.343868684732263,0.37855727693017777,0.46814785734284725,0.4262723668534741,0.4530997754436685,0.4999675208233589,0.44743665924667486,0.5637475745783528,0.46672982823015685,0.6265361819006071,0.6306825107655752,0.6916686705275147,0.8124424888675665,0.8409259930655001,0.8281131535382639,1.0
1077,,,,,,,,,0.47082354391214787,0.4721464237143884,0.46983950232240024,0.409236676994058,0.4516460443570286,0.44814563021742654,0.4732681149453522,0.4812331762551879,0.7222021691129936,0.6242671374344532,0.6500417170419853,0.5765584934122289,0.7129121352933969,0.779396731594962,0.7848710379814869,0.816362028586962,0.8177811007728152,0.9053222314958832,0.939987570760575,0.8945297058389282,1.0
1078,,,,,,,,,0.6791866747530565,0.7043853142586188,0.7521644212890843,0.7362444336773745,0.7314908338849301,0.8646010153815109,0.8916890169603526,0.843421548159293,0.9397538086046135,0.9112989558282802,1.0,0.8759778415178464,0.8317702726126024,0.8204389786165251,0.8586997247744736,0.837389796143886,0.8822366629080476,0.8228351074976135,0.8437855835339224,0.8935997407033311,0.8573217122893538
1087,,,,,,,,,0.48638448150209723,0.36370798767287615,0.31223548134227397,0.3458579399489668,0.3317766967181644,0.34360598027691674,0.37076379774720053,0.4286549533796322,0.3966548386952858,0.43565233873399506,0.4264179197309301,0.37605289152829097,0.6333072997242589,0.6634545864422108,0.6825700000971011,0.6396278637298026,0.7239099016680143,0.8592960191934882,0.9057127369694832,0.903365250748007,1.0
