ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
1052,274,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,124,0.368373784,1.074444615,349.7428101,293.3562622,796.354884,336.6146162,0.0,1,0,3.973378976,74.80901783,0,0,0,0.0,POINT (396124.5870142092 8108427.691334175),"0    POLYGON ((395640.570 8108418.433, 395640.347 8...
Name: geometry, dtype: geometry",,,,,,Rural
1053,275,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,292,0.742948103,1.498254711,575.6183749,600.8098145,808.6834227,393.0287984,0.0,1,0,0.042284461,70.03830455,0,0,0,0.0,POINT (391359.9441700687 8108681.143667987),"0    POLYGON ((390849.336 8109039.052, 390849.092 8...
Name: geometry, dtype: geometry",,,,,,Rural
1057,276,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,328,0.685106929,1.376129659,205.4614753,728.6730347,1063.590228,478.7573823,0.0,0,0,2.708732717,35.85621879,0,0,0,0.0,POINT (108615.4492036203 8109448.152790145),"0    POLYGON ((108124.932 8109464.926, 108121.851 8...
Name: geometry, dtype: geometry",,,,,,Rural
1064,277,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,199,0.338125988,1.026896824,243.3294284,423.8093872,1253.406723,588.5380208,0.0,0,0,9.177233522,75.18497282,0,0,0,0.0,POINT (478682.1851244663 8113173.53934077),"0    POLYGON ((478264.156 8113098.938, 478264.060 8...
Name: geometry, dtype: geometry",,,,,,Rural
1065,278,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,141,0.160224934,0.706704619,147.2783382,177.2394714,1106.191573,880.0128467,0.0,0,0,8.390699359,76.0808678,0,0,0,0.0,POINT (477778.6053690179 8112924.904151576),"0    POLYGON ((477618.255 8112773.575, 477616.309 8...
Name: geometry, dtype: geometry",,,,,,Rural
1067,279,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,113,0.194848908,0.788421992,108.8579022,253.0881653,1298.894453,579.9365331,0.0,0,0,5.301851113,79.31257087,0,0,0,0.0,POINT (474262.219312148 8112463.306481571),"0    POLYGON ((473920.043 8112448.243, 473919.928 8...
Name: geometry, dtype: geometry",,,,,,Rural
1071,280,100.000001,1,['Mozambique'],0,0,0,No OSM location found,0.0,114,0.837342757,1.722861038,392.7875464,423.4280701,505.6806986,136.1449647,0.0,2,0,0.008456305,34.66778601,0,0,0,0.0,POINT (152497.9733221862 8112841.671069849),"0    POLYGON ((152096.047 8112389.898, 152093.763 8...
Name: geometry, dtype: geometry",,,,,,Rural
1077,281,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,226,0.619667485,1.436187797,661.490181,448.137085,723.1896072,364.7117293,0.0,0,0,1.067601034,93.36281757,0,0,0,0.0,POINT (414712.8080075034 8112960.216563411),"0    POLYGON ((414152.886 8112837.149, 414152.746 8...
Name: geometry, dtype: geometry",,,,,,Rural
1078,282,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,111,0.255764268,0.922366461,128.0681202,394.8134155,1543.66135,433.9933829,0.0,0,0,0.030775916,85.11163833,0,0,0,0.0,POINT (467177.680778873 8113164.140460134),"0    POLYGON ((466978.334 8112943.781, 466975.464 8...
Name: geometry, dtype: geometry",,,,,,Rural
1087,283,8.015966921,1,['Mozambique'],0,0,0,No OSM location found,0.0,211,0.488680939,1.401125998,684.5725809,745.9509888,1526.458122,431.774565,0.0,0,0,0.027814611,33.33010587,0,0,0,0.0,POINT (151622.6711575528 8110882.351727208),"0    POLYGON ((151254.346 8110727.514, 151253.757 8...
Name: geometry, dtype: geometry",,,,,,Rural
