,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.8882955990145126,0.7924833358183833,0.8348553316556269,0.843758198905127,0.7442026600970393,0.7586479466070515,0.7320618107167263,0.7805113507226189,0.7698764199299053,0.8687004661607127,0.7748243221309016,1.0,0.6949881145314566,0.6446545385403087,0.560337877996935,0.5794287460394856,0.5504955644295478,0.5793316179450706,0.5732846631707049,0.5777193673745107,0.5819724842713666
nights_per_years,,,,27.0,42.0,22.0,7.0,,,,,,,,,,,,,,,,28.0,14.0,28.0,28.0,28.0,,
specific_nights_per_years,,,,0.00016093014995175725,0.0002503357888138446,0.00013112827033106146,4.17226314689741e-05,,,,,,,,,,,,,,,,0.0001668905258758964,8.34452629379482e-05,0.0001668905258758964,0.0001668905258758964,0.0001668905258758964,,
