,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.7231207992498908,0.7268995025352781,0.7729104147053701,0.8026991436337892,0.749670943870533,0.7165119924080473,0.7429868926500912,0.7554644455325346,0.7454915682127362,0.8444474696435467,0.9433710333435131,1.0,0.8547886816049105,0.807693193491314,0.7319631968228889,0.7705609602507767,0.8437096961452163,0.8660091643551762,0.8779364237056705,0.8737014429253248,0.8817473858493876
nights_per_years,,,,7.0,,,,,,,,,,,,,,,,,,,28.0,,21.0,49.0,49.0,,
specific_nights_per_years,,,,4.290774923357521e-06,,,,,,,,,,,,,,,,,,,1.7163099693430084e-05,,1.2872324770072563e-05,3.003542446350265e-05,3.003542446350265e-05,,
