X,Y,ID,Elevation,Population,Weight
-161471.20041559645,3162795.6725483807,0,1190.523193359375,0.0,3.684907414240236
-161171.20041559645,3162795.6725483807,1,678.3543090820312,0.0,4.251565138771888
-162071.20041559645,3163095.6725483807,2,1982.1607666015625,32.0,1.5
-161771.20041559645,3163095.6725483807,3,1980.417724609375,14.0,1.5
-161471.20041559645,3163095.6725483807,4,1958.4747314453125,0.0,1.5
-161171.20041559645,3163095.6725483807,5,1885.396728515625,0.0,1.5
-160871.20041559645,3163095.6725483807,6,1615.73974609375,0.0,1.5
-160571.20041559645,3163095.6725483807,7,1134.38330078125,0.0,3.7009798511331367
-162971.20041559645,3163395.6725483807,8,1988.3341064453125,0.0,3.086773891025172
-162671.20041559645,3163395.6725483807,9,1984.0316162109375,0.0,1.5
-162371.20041559645,3163395.6725483807,10,1976.4215087890625,13.0,1.5
-162071.20041559645,3163395.6725483807,11,1997.0445556640625,47.0,1.5
-161771.20041559645,3163395.6725483807,12,1994.3365478515625,46.0,1.5
-161471.20041559645,3163395.6725483807,13,1960.488037109375,0.0,1.5
-161171.20041559645,3163395.6725483807,14,1952.6766357421875,0.0,1.5
-160871.20041559645,3163395.6725483807,15,1947.881591796875,0.0,1.5
-160571.20041559645,3163395.6725483807,16,1942.7811279296875,0.0,1.5
-160271.20041559645,3163395.6725483807,17,1736.5767822265625,7.0,1.5
-163271.20041559645,3163695.6725483807,18,2007.40869140625,0.0,1.5
-162971.20041559645,3163695.6725483807,19,1999.3353271484375,18.0,1.5
-162671.20041559645,3163695.6725483807,20,2009.100830078125,24.0,1.5
-162371.20041559645,3163695.6725483807,21,1990.6094970703125,4.0,1.5
-162071.20041559645,3163695.6725483807,22,2015.27294921875,32.0,1.5
-161771.20041559645,3163695.6725483807,23,2026.3299560546875,47.0,1.5
-161471.20041559645,3163695.6725483807,24,1986.8492431640625,24.0,1.5
-161171.20041559645,3163695.6725483807,25,1993.67529296875,54.0,1.5
-160871.20041559645,3163695.6725483807,26,1989.768798828125,12.0,1.5
-160571.20041559645,3163695.6725483807,27,1985.96728515625,58.0,1.5
-160271.20041559645,3163695.6725483807,28,2022.192626953125,24.0,3.2748574250741527
-159971.20041559645,3163695.6725483807,29,2022.192626953125,0.0,1.5
-159371.20041559645,3163695.6725483807,30,1432.6092529296875,0.0,3.655207039417675
-159071.20041559645,3163695.6725483807,31,488.2694396972656,0.0,4.094105758466084
-158771.20041559645,3163695.6725483807,32,31.779802322387695,0.0,4.3628580920944255
-163571.20041559645,3163995.6725483807,33,2016.2603759765625,0.0,1.5
-163271.20041559645,3163995.6725483807,34,2028.5301513671875,0.0,2.9375112797067935
-162971.20041559645,3163995.6725483807,35,2009.151611328125,27.0,1.5
-162671.20041559645,3163995.6725483807,36,2026.3365478515625,90.0,1.5
-162371.20041559645,3163995.6725483807,37,2002.9510498046875,17.0,1.5
-162071.20041559645,3163995.6725483807,38,2032.766357421875,47.0,1.5
-161771.20041559645,3163995.6725483807,39,2091.04296875,27.0,1.5
-161471.20041559645,3163995.6725483807,40,2034.173828125,11.0,1.5
-161171.20041559645,3163995.6725483807,41,2048.595458984375,50.0,3.56824551567772
-160871.20041559645,3163995.6725483807,42,2087.48583984375,33.0,1.5
-160571.20041559645,3163995.6725483807,43,2080.182861328125,53.0,3.330263021258099
-160271.20041559645,3163995.6725483807,44,2077.371337890625,0.0,1.5
-159971.20041559645,3163995.6725483807,45,2077.371337890625,0.0,3.892624710914105
-159671.20041559645,3163995.6725483807,46,1975.330810546875,0.0,2.932884898815489
-159371.20041559645,3163995.6725483807,47,1951.6622314453125,0.0,1.5
-159071.20041559645,3163995.6725483807,48,1757.3673095703125,0.0,3.85097413809906
-158771.20041559645,3163995.6725483807,49,585.56982421875,0.0,2.9638313720766947
-163871.20041559645,3164295.6725483807,50,2041.1722412109375,14.0,1.5
-163571.20041559645,3164295.6725483807,51,2040.0087890625,12.0,1.5
-163271.20041559645,3164295.6725483807,52,2044.1800537109375,67.0,1.5
-162971.20041559645,3164295.6725483807,53,2019.0701904296875,18.0,1.5
-162671.20041559645,3164295.6725483807,54,2032.24853515625,16.0,1.5
-162371.20041559645,3164295.6725483807,55,2017.7784423828125,7.0,1.5
-162071.20041559645,3164295.6725483807,56,2047.179931640625,32.0,1.5
-161771.20041559645,3164295.6725483807,57,2132.85302734375,0.0,1.5
-161471.20041559645,3164295.6725483807,58,2110.4140625,0.0,3.621072507673351
-161171.20041559645,3164295.6725483807,59,2086.859130859375,0.0,4.222384659253481
-160871.20041559645,3164295.6725483807,60,2146.38525390625,0.0,1.5
-160571.20041559645,3164295.6725483807,61,2157.610595703125,0.0,3.039971419458375
-160271.20041559645,3164295.6725483807,62,2107.181396484375,0.0,1.5
-159971.20041559645,3164295.6725483807,63,2107.181396484375,11.0,3.7475015875194604
-159671.20041559645,3164295.6725483807,64,2004.74560546875,11.0,1.5
-159371.20041559645,3164295.6725483807,65,1988.2938232421875,39.0,1.5
-159071.20041559645,3164295.6725483807,66,1977.909912109375,58.0,1.5
-158771.20041559645,3164295.6725483807,67,1668.8516845703125,20.0,1.5
-158471.20041559645,3164295.6725483807,68,383.50537109375,0.0,2.8893538044256197
-164171.20041559645,3164595.6725483807,69,2089.630126953125,14.0,1.5
-163871.20041559645,3164595.6725483807,70,2103.934326171875,17.0,1.5
-163571.20041559645,3164595.6725483807,71,2074.870361328125,43.0,1.5
-163271.20041559645,3164595.6725483807,72,2056.99462890625,109.0,1.5
-162971.20041559645,3164595.6725483807,73,2036.8607177734375,7.0,1.5
-162671.20041559645,3164595.6725483807,74,2040.7088623046875,7.0,3.133603190474559
-162371.20041559645,3164595.6725483807,75,2032.743896484375,10.0,1.5
-162071.20041559645,3164595.6725483807,76,2036.908447265625,14.0,1.5
-161771.20041559645,3164595.6725483807,77,2126.10498046875,0.0,1.5
-161471.20041559645,3164595.6725483807,78,2157.462646484375,0.0,3.802085338492213
-161171.20041559645,3164595.6725483807,79,2146.23193359375,0.0,4.437096045480766
-160871.20041559645,3164595.6725483807,80,2187.990966796875,0.0,3.083049661704645
