X,Y,ID,Population,Elevation,Weight,geometry,Land_cover,Cluster,MV_Power,Substation,Type
-161471.20041559645,3162795.6725483807,0.0,0.0,1190.523193359375,3.684907414240236,POINT (-161471.2004155965 3162795.672548381),,,,,Standard
-161171.20041559645,3162795.6725483807,1.0,0.0,678.3543090820312,4.251565138771888,POINT (-161171.2004155965 3162795.672548381),,,,,Standard
-162071.20041559645,3163095.6725483807,2.0,32.0,1982.1607666015625,1.5,POINT (-162071.2004155965 3163095.672548381),,,,,Standard
-161771.20041559645,3163095.6725483807,3.0,14.0,1980.417724609375,1.5,POINT (-161771.2004155965 3163095.672548381),,,,,Standard
-161471.20041559645,3163095.6725483807,4.0,0.0,1958.4747314453125,1.5,POINT (-161471.2004155965 3163095.672548381),,,,,Standard
-161171.20041559645,3163095.6725483807,5.0,0.0,1885.396728515625,1.5,POINT (-161171.2004155965 3163095.672548381),,,,,Standard
-160871.20041559645,3163095.6725483807,6.0,0.0,1615.73974609375,1.5,POINT (-160871.2004155965 3163095.672548381),,,,,Standard
-160571.20041559645,3163095.6725483807,7.0,0.0,1134.38330078125,3.7009798511331367,POINT (-160571.2004155965 3163095.672548381),,,,,Standard
-162971.20041559645,3163395.6725483807,8.0,0.0,1988.3341064453125,3.086773891025172,POINT (-162971.2004155965 3163395.672548381),,,,,Standard
-162671.20041559645,3163395.6725483807,9.0,0.0,1984.0316162109373,1.5,POINT (-162671.2004155965 3163395.672548381),,,,,Standard
-162371.20041559645,3163395.6725483807,10.0,13.0,1976.4215087890625,1.5,POINT (-162371.2004155965 3163395.672548381),,,,,Standard
-162071.20041559645,3163395.6725483807,11.0,47.0,1997.0445556640625,1.5,POINT (-162071.2004155965 3163395.672548381),,,,,Standard
-161771.20041559645,3163395.6725483807,12.0,46.0,1994.3365478515625,1.5,POINT (-161771.2004155965 3163395.672548381),,,,,Standard
-161471.20041559645,3163395.6725483807,13.0,0.0,1960.488037109375,1.5,POINT (-161471.2004155965 3163395.672548381),,,,,Standard
-161171.20041559645,3163395.6725483807,14.0,0.0,1952.6766357421875,1.5,POINT (-161171.2004155965 3163395.672548381),,,,,Standard
-160871.20041559645,3163395.6725483807,15.0,0.0,1947.881591796875,1.5,POINT (-160871.2004155965 3163395.672548381),,,,,Standard
-160571.20041559645,3163395.6725483807,16.0,0.0,1942.7811279296875,1.5,POINT (-160571.2004155965 3163395.672548381),,,,,Standard
-160271.20041559645,3163395.6725483807,17.0,7.0,1736.5767822265625,1.5,POINT (-160271.2004155965 3163395.672548381),,,,,Standard
-163271.20041559645,3163695.6725483807,18.0,0.0,2007.40869140625,1.5,POINT (-163271.2004155965 3163695.672548381),,,,,Standard
-162971.20041559645,3163695.6725483807,19.0,18.0,1999.3353271484373,1.5,POINT (-162971.2004155965 3163695.672548381),,,,,Standard
-162671.20041559645,3163695.6725483807,20.0,24.0,2009.100830078125,1.5,POINT (-162671.2004155965 3163695.672548381),,,,,Standard
-162371.20041559645,3163695.6725483807,21.0,4.0,1990.6094970703125,1.5,POINT (-162371.2004155965 3163695.672548381),,,,,Standard
-162071.20041559645,3163695.6725483807,22.0,32.0,2015.27294921875,1.5,POINT (-162071.2004155965 3163695.672548381),,,,,Standard
-161771.20041559645,3163695.6725483807,23.0,47.0,2026.3299560546875,1.5,POINT (-161771.2004155965 3163695.672548381),,,,,Standard
-161471.20041559645,3163695.6725483807,24.0,24.0,1986.8492431640625,1.5,POINT (-161471.2004155965 3163695.672548381),,,,,Standard
-161171.20041559645,3163695.6725483807,25.0,54.0,1993.67529296875,1.5,POINT (-161171.2004155965 3163695.672548381),,,,,Standard
-160871.20041559645,3163695.6725483807,26.0,12.0,1989.768798828125,1.5,POINT (-160871.2004155965 3163695.672548381),,,,,Standard
-160571.20041559645,3163695.6725483807,27.0,58.0,1985.96728515625,1.5,POINT (-160571.2004155965 3163695.672548381),,,,,Standard
-160271.20041559645,3163695.6725483807,28.0,24.0,2022.192626953125,3.2748574250741527,POINT (-160271.2004155965 3163695.672548381),,,,,Standard
-159971.20041559645,3163695.6725483807,29.0,0.0,2022.192626953125,1.5,POINT (-159971.2004155965 3163695.672548381),,,,,Standard
-159371.20041559645,3163695.6725483807,30.0,0.0,1432.6092529296875,3.6552070394176734,POINT (-159371.2004155965 3163695.672548381),,,,,Standard
-159071.20041559645,3163695.6725483807,31.0,0.0,488.2694396972656,4.094105758466084,POINT (-159071.2004155965 3163695.672548381),,,,,Standard
-158771.20041559645,3163695.6725483807,32.0,0.0,31.77980232238769,4.3628580920944255,POINT (-158771.2004155965 3163695.672548381),,,,,Standard
-163571.20041559645,3163995.6725483807,33.0,0.0,2016.2603759765625,1.5,POINT (-163571.2004155965 3163995.672548381),,,,,Standard
-163271.20041559645,3163995.6725483807,34.0,0.0,2028.5301513671875,2.937511279706793,POINT (-163271.2004155965 3163995.672548381),,,,,Standard
-162971.20041559645,3163995.6725483807,35.0,27.0,2009.151611328125,1.5,POINT (-162971.2004155965 3163995.672548381),,,,,Standard
-162671.20041559645,3163995.6725483807,36.0,90.0,2026.3365478515625,1.5,POINT (-162671.2004155965 3163995.672548381),,,,,Standard
-162371.20041559645,3163995.6725483807,37.0,17.0,2002.9510498046875,1.5,POINT (-162371.2004155965 3163995.672548381),,,,,Standard
-162071.20041559645,3163995.6725483807,38.0,47.0,2032.766357421875,1.5,POINT (-162071.2004155965 3163995.672548381),,,,,Standard
-161771.20041559645,3163995.6725483807,39.0,27.0,2091.04296875,1.5,POINT (-161771.2004155965 3163995.672548381),,,,,Standard
-161471.20041559645,3163995.6725483807,40.0,11.0,2034.173828125,1.5,POINT (-161471.2004155965 3163995.672548381),,,,,Standard
-161171.20041559645,3163995.6725483807,41.0,50.0,2048.595458984375,3.56824551567772,POINT (-161171.2004155965 3163995.672548381),,,,,Standard
-160871.20041559645,3163995.6725483807,42.0,33.0,2087.48583984375,1.5,POINT (-160871.2004155965 3163995.672548381),,,,,Standard
-160571.20041559645,3163995.6725483807,43.0,53.0,2080.182861328125,3.3302630212580984,POINT (-160571.2004155965 3163995.672548381),,,,,Standard
-160271.20041559645,3163995.6725483807,44.0,0.0,2077.371337890625,1.5,POINT (-160271.2004155965 3163995.672548381),,,,,Standard
-159971.20041559645,3163995.6725483807,45.0,0.0,2077.371337890625,3.892624710914105,POINT (-159971.2004155965 3163995.672548381),,,,,Standard
-159671.20041559645,3163995.6725483807,46.0,0.0,1975.330810546875,2.9328848988154888,POINT (-159671.2004155965 3163995.672548381),,,,,Standard
-159371.20041559645,3163995.6725483807,47.0,0.0,1951.6622314453125,1.5,POINT (-159371.2004155965 3163995.672548381),,,,,Standard
-159071.20041559645,3163995.6725483807,48.0,0.0,1757.3673095703125,3.85097413809906,POINT (-159071.2004155965 3163995.672548381),,,,,Standard
-158771.20041559645,3163995.6725483807,49.0,0.0,585.56982421875,2.9638313720766947,POINT (-158771.2004155965 3163995.672548381),,,,,Standard
-163871.20041559645,3164295.6725483807,50.0,14.0,2041.1722412109373,1.5,POINT (-163871.2004155965 3164295.672548381),,,,,Standard
-163571.20041559645,3164295.6725483807,51.0,12.0,2040.0087890625,1.5,POINT (-163571.2004155965 3164295.672548381),,,,,Standard
-163271.20041559645,3164295.6725483807,52.0,67.0,2044.1800537109373,1.5,POINT (-163271.2004155965 3164295.672548381),,,,,Standard
-162971.20041559645,3164295.6725483807,53.0,18.0,2019.0701904296875,1.5,POINT (-162971.2004155965 3164295.672548381),,,,,Standard
-162671.20041559645,3164295.6725483807,54.0,16.0,2032.24853515625,1.5,POINT (-162671.2004155965 3164295.672548381),,,,,Standard
-162371.20041559645,3164295.6725483807,55.0,7.0,2017.7784423828125,1.5,POINT (-162371.2004155965 3164295.672548381),,,,,Standard
-162071.20041559645,3164295.6725483807,56.0,32.0,2047.179931640625,1.5,POINT (-162071.2004155965 3164295.672548381),,,,,Standard
-161771.20041559645,3164295.6725483807,57.0,0.0,2132.85302734375,1.5,POINT (-161771.2004155965 3164295.672548381),,,,,Standard
-161471.20041559645,3164295.6725483807,58.0,0.0,2110.4140625,3.621072507673351,POINT (-161471.2004155965 3164295.672548381),,,,,Standard
-161171.20041559645,3164295.6725483807,59.0,0.0,2086.859130859375,4.222384659253482,POINT (-161171.2004155965 3164295.672548381),,,,,Standard
-160871.20041559645,3164295.6725483807,60.0,0.0,2146.38525390625,1.5,POINT (-160871.2004155965 3164295.672548381),,,,,Standard
-160571.20041559645,3164295.6725483807,61.0,0.0,2157.610595703125,3.039971419458375,POINT (-160571.2004155965 3164295.672548381),,,,,Standard
-160271.20041559645,3164295.6725483807,62.0,0.0,2107.181396484375,1.5,POINT (-160271.2004155965 3164295.672548381),,,,,Standard
-159971.20041559645,3164295.6725483807,63.0,11.0,2107.181396484375,3.7475015875194617,POINT (-159971.2004155965 3164295.672548381),,,,,Standard
-159671.20041559645,3164295.6725483807,64.0,11.0,2004.74560546875,1.5,POINT (-159671.2004155965 3164295.672548381),,,,,Standard
-159371.20041559645,3164295.6725483807,65.0,39.0,1988.2938232421875,1.5,POINT (-159371.2004155965 3164295.672548381),,,,,Standard
