X,Y,geometry,ID,Elevation,Slope,Population,Land_cover,Protected_area,Road_dist,River_flow
-161471.20041559645,3162795.6725483807,POINT (-161471.2004155965 3162795.672548381),0,1190.523193359375,30.512163162231445,0.0,4,False,197.6244107225935,
-161171.20041559645,3162795.6725483807,POINT (-161171.2004155965 3162795.672548381),1,678.3543090820312,34.62991714477539,0.0,4,False,285.8561999458183,
-162071.20041559645,3163095.6725483807,POINT (-162071.2004155965 3163095.672548381),2,1982.1607666015625,5.82736873626709,32.0,4,False,73.9244678849934,
-161771.20041559645,3163095.6725483807,POINT (-161771.2004155965 3163095.672548381),3,1980.417724609375,7.258340835571289,14.0,4,False,20.240170828633893,
-161471.20041559645,3163095.6725483807,POINT (-161471.2004155965 3163095.672548381),4,1958.4747314453125,5.142016887664795,0.0,4,False,75.1578317787026,
-161171.20041559645,3163095.6725483807,POINT (-161171.2004155965 3163095.672548381),5,1885.396728515625,6.314289569854736,0.0,4,False,32.331316104891314,
-160871.20041559645,3163095.6725483807,POINT (-160871.2004155965 3163095.672548381),6,1615.73974609375,11.2515287399292,0.0,4,False,13.486326166129235,
-160571.20041559645,3163095.6725483807,POINT (-160571.2004155965 3163095.672548381),7,1134.38330078125,28.008596420288086,0.0,4,False,215.2466093702239,
-162971.20041559645,3163395.6725483807,POINT (-162971.2004155965 3163395.672548381),8,1988.3341064453125,7.1355085372924805,0.0,4,False,191.03107102176438,
-162671.20041559645,3163395.6725483807,POINT (-162671.2004155965 3163395.672548381),9,1984.0316162109375,7.876713275909424,0.0,4,False,28.231678126903034,
-162371.20041559645,3163395.6725483807,POINT (-162371.2004155965 3163395.672548381),10,1976.4215087890625,4.8865885734558105,13.0,4,False,9.077651005743625,
-162071.20041559645,3163395.6725483807,POINT (-162071.2004155965 3163395.672548381),11,1997.0445556640625,6.826586723327637,47.0,4,False,37.87212534916433,
-161771.20041559645,3163395.6725483807,POINT (-161771.2004155965 3163395.672548381),12,1994.3365478515625,7.752342224121094,46.0,4,False,4.614099178053284,
-161471.20041559645,3163395.6725483807,POINT (-161471.2004155965 3163395.672548381),13,1960.488037109375,8.136882781982422,0.0,4,False,63.00768805895569,
-161171.20041559645,3163395.6725483807,POINT (-161171.2004155965 3163395.672548381),14,1952.6766357421875,5.3589301109313965,0.0,4,False,143.96359263114954,
-160871.20041559645,3163395.6725483807,POINT (-160871.2004155965 3163395.672548381),15,1947.881591796875,5.49604606628418,0.0,4,False,136.23914145431368,
-160571.20041559645,3163395.6725483807,POINT (-160571.2004155965 3163395.672548381),16,1942.7811279296875,5.093612194061279,0.0,4,False,37.29983492430027,
-160271.20041559645,3163395.6725483807,POINT (-160271.2004155965 3163395.672548381),17,1736.5767822265625,21.73725700378418,7.0,4,False,45.00940798356144,
-163271.20041559645,3163695.6725483807,POINT (-163271.2004155965 3163695.672548381),18,2007.40869140625,8.267348289489746,0.0,4,False,58.424923705779015,
-162971.20041559645,3163695.6725483807,POINT (-162971.2004155965 3163695.672548381),19,1999.3353271484375,6.774949073791504,18.0,4,False,6.832946560096552,
-162671.20041559645,3163695.6725483807,POINT (-162671.2004155965 3163695.672548381),20,2009.100830078125,8.811105728149414,24.0,4,False,25.958571963247735,
-162371.20041559645,3163695.6725483807,POINT (-162371.2004155965 3163695.672548381),21,1990.6094970703125,9.754549026489258,4.0,4,False,27.49338974214141,
-162071.20041559645,3163695.6725483807,POINT (-162071.2004155965 3163695.672548381),22,2015.27294921875,8.999185562133789,32.0,4,False,132.14613769517806,
-161771.20041559645,3163695.6725483807,POINT (-161771.2004155965 3163695.672548381),23,2026.3299560546875,11.479865074157715,47.0,4,False,7.45301448471303,
-161471.20041559645,3163695.6725483807,POINT (-161471.2004155965 3163695.672548381),24,1986.8492431640625,14.114145278930664,24.0,4,False,60.219290205659576,
-161171.20041559645,3163695.6725483807,POINT (-161171.2004155965 3163695.672548381),25,1993.67529296875,14.688453674316406,54.0,4,False,112.13724323636434,
-160871.20041559645,3163695.6725483807,POINT (-160871.2004155965 3163695.672548381),26,1989.768798828125,16.187358856201172,12.0,4,False,58.20053413694174,
-160571.20041559645,3163695.6725483807,POINT (-160571.2004155965 3163695.672548381),27,1985.96728515625,14.426493644714355,58.0,4,False,4.036135707459479,
-160271.20041559645,3163695.6725483807,POINT (-160271.2004155965 3163695.672548381),28,2022.192626953125,23.309886932373047,24.0,2,False,155.43179592244675,
-159971.20041559645,3163695.6725483807,POINT (-159971.2004155965 3163695.672548381),29,2022.192626953125,24.046627044677734,0.0,2,False,148.51402305885335,
-159371.20041559645,3163695.6725483807,POINT (-159371.2004155965 3163695.672548381),30,1432.6092529296875,32.98820877075195,0.0,4,False,176.80678718074498,
-159071.20041559645,3163695.6725483807,POINT (-159071.2004155965 3163695.672548381),31,488.2694396972656,9.267901420593262,0.0,4,False,383.9779980527003,
-158771.20041559645,3163695.6725483807,POINT (-158771.2004155965 3163695.672548381),32,31.779802322387695,0.0030957043636590242,0.0,4,False,472.56088923735206,
-163571.20041559645,3163995.6725483807,POINT (-163571.2004155965 3163995.672548381),33,2016.2603759765625,7.936343669891357,0.0,4,False,6.201435364631075,
-163271.20041559645,3163995.6725483807,POINT (-163271.2004155965 3163995.672548381),34,2028.5301513671875,7.63060188293457,0.0,4,False,159.2284935210074,
-162971.20041559645,3163995.6725483807,POINT (-162971.2004155965 3163995.672548381),35,2009.151611328125,6.701777935028076,27.0,4,False,35.88457353626453,
-162671.20041559645,3163995.6725483807,POINT (-162671.2004155965 3163995.672548381),36,2026.3365478515625,11.023908615112305,90.0,4,False,19.363451181776455,
-162371.20041559645,3163995.6725483807,POINT (-162371.2004155965 3163995.672548381),37,2002.9510498046875,12.194427490234375,17.0,4,False,13.872394579750674,
-162071.20041559645,3163995.6725483807,POINT (-162071.2004155965 3163995.672548381),38,2032.766357421875,13.004542350769043,47.0,4,False,14.670071569287465,
-161771.20041559645,3163995.6725483807,POINT (-161771.2004155965 3163995.672548381),39,2091.04296875,21.105945587158203,27.0,3,False,103.809492659959,
-161471.20041559645,3163995.6725483807,POINT (-161471.2004155965 3163995.672548381),40,2034.173828125,23.13270378112793,11.0,4,False,108.45851121164581,
-161171.20041559645,3163995.6725483807,POINT (-161171.2004155965 3163995.672548381),41,2048.595458984375,23.118539810180664,50.0,4,False,215.10098081065374,
-160871.20041559645,3163995.6725483807,POINT (-160871.2004155965 3163995.672548381),42,2087.48583984375,22.83395004272461,33.0,4,False,32.94760956572712,
-160571.20041559645,3163995.6725483807,POINT (-160571.2004155965 3163995.672548381),43,2080.182861328125,24.42448616027832,53.0,3,False,160.67121273544626,
-160271.20041559645,3163995.6725483807,POINT (-160271.2004155965 3163995.672548381),44,2077.371337890625,24.43007469177246,0.0,3,False,133.1686299816607,
-159971.20041559645,3163995.6725483807,POINT (-159971.2004155965 3163995.672548381),45,2077.371337890625,19.772626876831055,0.0,3,False,296.794458935777,
-159671.20041559645,3163995.6725483807,POINT (-159671.2004155965 3163995.672548381),46,1975.330810546875,8.476001739501953,0.0,4,False,154.93446834092217,
-159371.20041559645,3163995.6725483807,POINT (-159371.2004155965 3163995.672548381),47,1951.6622314453125,15.72921085357666,0.0,4,False,41.69100529025631,
-159071.20041559645,3163995.6725483807,POINT (-159071.2004155965 3163995.672548381),48,1757.3673095703125,33.15097427368164,0.0,4,False,214.95967384521643,
