,X,Y,ID,Elevation,Type,Population,Weight,Elevation
0,-161471.20041559645,3162795.6725483807,0.0,1190.523193359375,Standard,0.0,3.6849074142402363,1190.523193359375
1,-161171.20041559645,3162795.6725483807,1.0,678.3543090820312,Standard,0.0,4.251565138771888,678.3543090820312
2,-162071.20041559645,3163095.6725483807,2.0,1982.1607666015625,Standard,32.0,1.5,1982.1607666015625
3,-161771.20041559645,3163095.6725483807,3.0,1980.417724609375,Standard,14.0,1.5,1980.417724609375
4,-161471.20041559645,3163095.6725483807,4.0,1958.4747314453125,Standard,0.0,1.5,1958.4747314453125
5,-161171.20041559645,3163095.6725483807,5.0,1885.396728515625,Standard,0.0,1.5,1885.396728515625
6,-160871.20041559645,3163095.6725483807,6.0,1615.73974609375,Standard,0.0,1.5,1615.73974609375
7,-160571.20041559645,3163095.6725483807,7.0,1134.38330078125,Standard,0.0,3.7009798511331367,1134.38330078125
8,-162971.20041559645,3163395.6725483807,8.0,1988.3341064453125,Standard,0.0,3.086773891025172,1988.3341064453125
9,-162671.20041559645,3163395.6725483807,9.0,1984.0316162109373,Standard,0.0,1.5,1984.0316162109373
10,-162371.20041559645,3163395.6725483807,10.0,1976.4215087890625,Standard,13.0,1.5,1976.4215087890625
11,-162071.20041559645,3163395.6725483807,11.0,1997.0445556640625,Standard,47.0,1.5,1997.0445556640625
12,-161771.20041559645,3163395.6725483807,12.0,1994.3365478515625,Standard,46.0,1.5,1994.3365478515625
13,-161471.20041559645,3163395.6725483807,13.0,1960.488037109375,Standard,0.0,1.5,1960.488037109375
14,-161171.20041559645,3163395.6725483807,14.0,1952.6766357421875,Standard,0.0,1.5,1952.6766357421875
15,-160871.20041559645,3163395.6725483807,15.0,1947.881591796875,Standard,0.0,1.5,1947.881591796875
16,-160571.20041559645,3163395.6725483807,16.0,1942.7811279296875,Standard,0.0,1.5,1942.7811279296875
17,-160271.20041559645,3163395.6725483807,17.0,1736.5767822265625,Standard,7.0,1.5,1736.5767822265625
18,-163271.20041559645,3163695.6725483807,18.0,2007.40869140625,Standard,0.0,1.5,2007.40869140625
19,-162971.20041559645,3163695.6725483807,19.0,1999.3353271484373,Standard,18.0,1.5,1999.3353271484373
20,-162671.20041559645,3163695.6725483807,20.0,2009.100830078125,Standard,24.0,1.5,2009.100830078125
21,-162371.20041559645,3163695.6725483807,21.0,1990.6094970703125,Standard,4.0,1.5,1990.6094970703125
22,-162071.20041559645,3163695.6725483807,22.0,2015.27294921875,Standard,32.0,1.5,2015.27294921875
