;ID;residential_area;n_residential_area;admin_0;admin_1;admin_2;admin_3;OSM;urban_percentage;n_buildings;area;extension;population_facebook;population_worldpop;population_density;building_density;night_lights;schools;hospitals;distance_road;distance_grid;distance_official_substations;distance_substations;grid_buildings;lights_build;centroid;polygons;Existing_Voltage:;dist_from_city;HDI;Trees_cover_areas;Shrubs_cover_areas;Grassland;Cropland;Vegetation_aquatic_or_regularly_flooded;Lichen_Mosses_/_Sparse_vegetation;Bare_areas;Built_up_areas;Snow_and/or_Ice;Open_water;elevation_average;average_wealth_index;roads_extension;rivers_extension;close_to_roads_buildings_perc;proximity_to_water;GHI;DNI;TEMP;PVOUT;wind_50;geometry
0;0;0;0;['Lesotho'];['Butha-Buthe'];['Ngoajane'];0;No OSM location found;0.0;191.0;0.4213804840783884;1.5046103503715131;147.82206746965446;242.7909698486328;576.1799110835589;453.27205985284485;0.0;0;0;5.993427512800848;7.917474907079169;7.952743464140878;0;0.0;0.0;POINT (-150508.5921993968 3174079.243690739);"0    POLYGON ((-149705.906 3173911.379, -149706.200...
Name: geometry, dtype: geometry";;352;0.523296968637228;2.61;23.68;44.06;29.66;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.348;0.8115417176965576;0.0;0;7162;5.493894577026367;6.148789405822754;12.833333015441895;4.9708333015441895;4.0941219329833975;POINT (-150508.5921993968 3174079.243690739)
1;1;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;631.0;1.1196101424821399;2.593471069316749;773.5133849947107;1071.150146484375;956.7170802058556;563.5890351985317;0.0;0;0;0.257056417645121;1.151066419924566;7.5889419833308835;0;0.0;0.0;POINT (-135363.3976581718 3172055.128194834);"0    POLYGON ((-135951.534 3171237.658, -135976.389...
Name: geometry, dtype: geometry";;112;0.6142243022236265;1.41;6.35;6.41;85.56;0.0;0.0;0.0;0.28;0.0;0.0;0;-0.030999999999999993;9.241631747408263;0.3397086829562668;0;325;5.630612850189209;6.498386859893799;14.8125;5.093500137329102;3.904008865356445;POINT (-135363.3976581718 3172055.128194834)
2;10;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe', 'Likila'];0;No OSM location found;0.0;477.0;0.8822725776301432;2.1008182340241888;562.2697744642276;611.3834838867188;692.9643960248035;540.6492416224262;0.0;0;0;3.65169727235528;3.3309598206784043;4.352399452093794;0;0.0;0.0;POINT (-142281.658376942 3189363.643879309);"0    POLYGON ((-142625.666 3188506.734, -142697.120...
Name: geometry, dtype: geometry";;126;0.523296968637228;11.32;25.32;31.93;31.09;0.0;0.04;0.31;0.0;0.0;0.0;0;-0.2502;3.878034359501693;0.9639914247624328;0;3825;5.462928771972656;6.00842809677124;13.700000762939453;4.953999996185303;3.0327694416046143;POINT (-142281.658376942 3189363.643879309)
3;100;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;11.0;0.07207733047547776;0.4066385247247236;15.475314893510847;22.011314392089844;305.384706216035;152.61386523939638;0.0;0;0;2.314252440372391;8.467980249498478;8.872959647425779;0;0.0;0.0;POINT (-161960.666565089 3196216.761282241);"0    POLYGON ((-162090.041 3196221.274, -162090.041...
Name: geometry, dtype: geometry";;1550;0.523296968637228;0.0;50.67;41.33;2.67;0.0;0.0;5.33;0.0;0.0;0.0;0;0.0;0.0;0.0;0;1739;5.270249843597412;5.7840003967285165;9.75;4.847750186920166;3.1322245597839355;POINT (-161960.666565089 3196216.761282241)
4;101;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;268.0;0.6700368318925749;1.6088097097493623;288.8725446788692;351.22454833984375;524.1869276764692;399.97801201914774;0.0;0;0;4.645107176774636;13.899364638500533;14.776664519278127;0;0.0;0.0;POINT (-153945.1012183846 3199104.038069069);"0    POLYGON ((-154056.944 3198634.742, -154065.143...
Name: geometry, dtype: geometry";;1054;0.523296968637228;2.68;15.43;22.76;59.03;0.0;0.1;0.0;0.0;0.0;0.0;0;-0.34275;0.08360622407293744;0.0;0;1321;5.33363676071167;6.005817890167236;11.199999809265137;4.897500038146973;4.45918083190918;POINT (-153945.1012183846 3199104.038069069)
5;102;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;177.0;0.21688007721266736;0.9172583698506924;237.28816170049961;216.44137573242188;997.9772163221093;816.1192225436091;0.0;0;0;0.6099823774335063;1.6092498358276823;6.093558692891038;0;0.0;0.0;POINT (-147714.100026428 3184674.543624855);"0    POLYGON ((-147675.618 3184853.627, -147674.407...
Name: geometry, dtype: geometry";;398;0.523296968637228;11.81;6.85;28.13;53.21;0.0;0.0;0.0;0.0;0.0;0.0;0;0.08639999999999999;0.7963875247213227;0.23682178436921944;0;2312;5.52899980545044;6.202636241912843;13.800000190734865;5.01099967956543;2.6295785903930664;POINT (-147714.100026428 3184674.543624855)
6;103;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;585.0;0.8335478120524502;1.779133100354907;892.4098255257923;850.6326904296875;1020.4965787567352;701.8193696166638;100.0;0;0;0.2810244178090253;0.015225603623829357;0.4717068902270057;0;94.34745318797232;100.0;POINT (-142091.3638314797 3185170.208055578);"0    POLYGON ((-141389.410 3185189.950, -141395.944...
Name: geometry, dtype: geometry";0.0;182;0.523296968637228;3.41;27.81;39.24;29.5;0.0;0.0;0.04;0.0;0.0;0.0;0;-0.0006666666666666648;6.036493395592406;0.0;0;725;5.652160167694093;6.503399848937987;14.033332824707033;5.125666618347168;4.0997185707092285;POINT (-142091.3638314797 3185170.208055578)
7;104;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;326.0;0.5490209714149723;1.9804511158535023;515.843829783695;503.3383483886719;916.7925718601164;593.78423953426;100.0;0;0;0.32789873743048764;0.42625933311549374;1.0826162832985398;0;0.0;100.0;POINT (-140683.0275332125 3184540.172392593);"0    POLYGON ((-140222.728 3183619.239, -140253.356...
Name: geometry, dtype: geometry";;165;0.523296968637228;6.39;4.16;21.4;68.05;0.0;0.0;0.0;0.0;0.0;0.0;0;0.085;4.035228432769778;0.0;0;262;5.647738933563232;6.52739143371582;14.119999885559082;5.125199794769287;3.3982133865356445;POINT (-140683.0275332125 3184540.172392593)
8;105;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;3.0;0.0007464085108667791;0.04588109713357697;0.0;5.855384826660156;7844.745526629239;4019.2467748206695;100.0;0;0;0.9578923123873327;0.5629675678783682;2.2370056953793247;0;0.0;100.0;POINT (-140935.8051943576 3182757.001550421);"0    POLYGON ((-140919.827 3182743.064, -140924.103...
Name: geometry, dtype: geometry";;230;0.523296968637228;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.2066;0.0;0.0;0;1283;5.6605000495910645;6.545000076293945;14.399999618530273;5.142000198364258;2.965862274169922;POINT (-140935.8051943576 3182757.001550421)
9;106;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;548.0;0.6203792217267414;1.7573623913198737;737.6566765906838;656.6659545898438;1058.4912124588943;883.330680345348;100.0;0;0;1.6869888507444333;0.01332419975567997;1.8491473713942328;0;89.02053969399904;100.0;POINT (-143168.8295255768 3186089.342341627);"0    POLYGON ((-142614.341 3186112.254, -142642.984...
Name: geometry, dtype: geometry";0.0;181;0.523296968637228;3.08;22.76;21.62;52.54;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.09133333333333332;4.4052646071913175;0.0;0;667;5.633318901062013;6.449045181274414;13.75999927520752;5.099999904632568;2.7654337882995605;POINT (-143168.8295255768 3186089.342341627)
