,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
115,0.0,3.4928611052003235e-05,0.0,0.00011177155536641036,0.00014437159234828004,6.287149989360583e-05,3.4928611052003235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.260003698186969e-05,6.520007396373937e-05,6.520007396373937e-05,6.520007396373937e-05,6.520007396373937e-05,,
116,0.0,0.0,0.0,0.014184033579277987,0.016210324090603412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184033579277987,0.014184033579277987,,
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
118,0.0,0.0,0.0,5.420025764788987e-05,6.968604554728697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.547730355245738e-05,5.154596237108347e-05,5.154596237108347e-05,6.687043767059477e-05,6.687043767059477e-05,,
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.615261804149238e-05,0.0,2.615261804149238e-05,0.00010461047216596952,0.00010461047216596952,,
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
122,5.7493230024276245e-05,1.1793483081902819e-05,3.980300540142202e-05,0.00012014610889688497,9.729623542569826e-05,5.380776656118161e-05,1.0319297696664966e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5478946544997452e-05,5.159648848332483e-06,2.0638595393329933e-05,5.159648848332483e-05,5.159648848332483e-05,,
123,0.00023417343451385942,0.0001300963525076997,0.00023417343451385942,0.00045967377886053885,0.00045100068869335886,0.00022550034434667943,6.938472133743982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071163117025985e-05,0.00018213489351077955,0.00018213489351077955,,
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7660384019143674e-05,5.7660384019143674e-05,,
