ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,Existing_Voltage:
0,0,0,['Lesotho'],['Butha-Buthe'],['Ngoajane'],0,No OSM location found,0.0,191.0,0.42138048407838835,1.5046103503715131,147.82206746965443,242.7909698486328,576.1799110835589,453.2720598528449,0.0,0,0,5.993427512800848,7.917474907079169,7.952743464140877,0,0.0,0.0,POINT (-150508.5921993968 3174079.243690739),
1,0,0,['Lesotho'],['Butha-Buthe'],['Likila'],0,No OSM location found,0.0,631.0,1.11961014248214,2.593471069316749,773.5133849947106,1071.150146484375,956.7170802058556,563.5890351985317,0.0,0,0,0.257056417645121,1.151066419924566,7.588941983330884,0,0.0,0.0,POINT (-135363.3976581718 3172055.128194834),
10,0,0,['Lesotho'],['Butha-Buthe'],"['Nqoe', 'Likila']",0,No OSM location found,0.0,477.0,0.8822725776301432,2.100818234024189,562.2697744642275,611.3834838867188,692.9643960248035,540.6492416224261,0.0,0,0,3.6516972723552796,3.330959820678405,4.352399452093794,0,0.0,0.0,POINT (-142281.658376942 3189363.643879309),
100,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,11.0,0.07207733047547776,0.40663852472472356,15.475314893510848,22.011314392089844,305.384706216035,152.61386523939638,0.0,0,0,2.314252440372391,8.467980249498478,8.872959647425779,0,0.0,0.0,POINT (-161960.666565089 3196216.761282241),
101,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,268.0,0.670036831892575,1.6088097097493623,288.87254467886913,351.22454833984375,524.1869276764692,399.9780120191477,0.0,0,0,4.645107176774637,13.899364638500531,14.776664519278127,0,0.0,0.0,POINT (-153945.1012183846 3199104.038069069),
102,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,177.0,0.21688007721266736,0.9172583698506923,237.2881617004996,216.44137573242188,997.9772163221091,816.1192225436091,0.0,0,0,0.6099823774335063,1.6092498358276823,6.093558692891037,0,0.0,0.0,POINT (-147714.100026428 3184674.543624855),
103,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,585.0,0.8335478120524502,1.779133100354907,892.4098255257923,850.6326904296875,1020.4965787567352,701.8193696166638,100.0,0,0,0.28102441780902526,0.015225603623829355,0.4717068902270057,0,94.34745318797233,100.0,POINT (-142091.3638314797 3185170.208055578),0.0
104,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,326.0,0.5490209714149723,1.9804511158535023,515.843829783695,503.3383483886719,916.7925718601164,593.78423953426,100.0,0,0,0.32789873743048764,0.42625933311549374,1.0826162832985398,0,0.0,100.0,POINT (-140683.0275332125 3184540.172392593),
105,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,3.0,0.000746408510866779,0.045881097133576965,0.0,5.855384826660156,7844.745526629239,4019.2467748206695,100.0,0,0,0.9578923123873327,0.5629675678783682,2.2370056953793247,0,0.0,100.0,POINT (-140935.8051943576 3182757.001550421),
106,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,548.0,0.6203792217267414,1.7573623913198735,737.6566765906837,656.6659545898438,1058.4912124588943,883.330680345348,100.0,0,0,1.6869888507444333,0.01332419975567997,1.8491473713942328,0,89.02053969399904,100.0,POINT (-143168.8295255768 3186089.342341627),0.0
107,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,186.0,0.22229343522879727,0.9200487157637105,221.81284680698877,195.7041778564453,880.3866729353264,836.7318621378001,66.66666666666667,0,0,3.3294698131274947,1.615823078180102,3.704164409374081,0,0.0,100.0,POINT (-144799.6912300581 3186981.151915274),
108,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,30.0,0.08353472533393386,0.8532151062551718,56.74282127620645,68.41641998291016,819.0177163977305,359.13208405335195,100.0,0,0,0.4967046002751699,0.1827617321902212,2.0932498985944794,0,99.48007911440297,100.0,POINT (-140680.9098557681 3183195.563782706),0.0
109,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,1424.0,1.6117106910252812,3.1356701625213854,1434.0458467986718,1542.65673828125,957.1548708285214,883.5332593681128,0.0,0,0,2.0395028770736703,3.1472937572747406,6.330255709712333,0,0.0,0.0,POINT (-147851.3210048578 3186243.683181695),
11,0,0,['Lesotho'],['Butha-Buthe'],['Likila'],0,No OSM location found,0.0,281.0,0.502117899132111,1.6441113045875728,509.8156401101501,483.56378173828125,963.0482852216586,559.6295222410838,80.0,0,0,1.4609299331537708,1.4079776928057781,1.9226759389716095,0,0.0,76.99737147186832,POINT (-135419.3997432931 3181080.887634445),
110,0,0,['Lesotho'],['Butha-Buthe'],"['Nqoe', 'Likila']",0,No OSM location found,0.0,422.0,0.5853682633688394,1.918406548615284,567.4282127620644,518.2821044921875,885.3949503675415,720.9136989616716,0.0,0,0,0.30361296996746834,0.707757815481435,9.03019658675875,0,0.0,0.0,POINT (-151077.3645093836 3182708.650484765),
