,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
population_per_years,,,,,,,,,0.6056325413532608,0.5471018583239422,0.6577702048660006,0.6795198192011184,0.7022153569004974,0.6572887096478375,0.6198888449616984,0.646357530195981,0.5741492446674316,0.5874588097678675,0.5372297543768124,0.5200455563457921,0.5126871009616658,0.5581383951042467,0.7273545426941723,0.7653759544823735,0.7597446358447233,0.9163541269708647,0.9639997880626275,0.918078257874798,1.0
nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
specific_nights_per_years,,,,,,,,,,,,,,,,,,,,,,,,,,1.1147346732194999e-05,,,
